cd_Ugestora,dt_Ano,de_Ugestora,ELEITO
201002,2009,AGUIAR,MANOEL BATISTA GUEDES FILHO
201002,2013,AGUIAR,MANOEL BATISTA GUEDES FILHO
201003,2009,ALAGOA GRANDE,JOAO BOSCO CARNEIRO JUNIOR
201003,2013,ALAGOA GRANDE,HILDON REGIS NAVARRO FILHO
201006,2009,ALCANTIL,JOSE MILTON RODRIGUES
201006,2013,ALCANTIL,JOSE ADEMAR DE FARIAS
201008,2013,ALHANDRA,MARCELO RODRIGUES DA COSTA
201009,2009,AMPARO,JOAO LUIS DE LACERDA JUNIOR
201009,2013,AMPARO,JOSE ARNALDO DA SILVA
201010,2009,APARECIDA,DEUSIMAR PIRES FERREIRA
201010,2013,APARECIDA,JULIO CESAR QUEIROGA DE ARAUJO
201012,2009,ARARA,JOSE ERNESTO DOS SANTOS SOBRINHO
201012,2013,ARARA,ERALDO FERNANDES DE AZEVEDO
201014,2009,AREIA,ELSON DA CUNHA LIMA FILHO
201014,2013,AREIA,PAULO GOMES PEREIRA
201016,2009,AREIAL,ADELSON GONCALVES BENJAMIN
201016,2013,AREIAL,CICERO PEDRO MEDA DE ALMEIDA
201020,2009,BANANEIRAS,MARTA ELEONORA ARAGAO RAMALHO
201020,2013,BANANEIRAS,DOUGLAS LUCENA MOURA DE MEDEIROS
201023,2009,BARRA DE SANTANA,MANOEL ALMEIDA DE ANDRADE
201023,2013,BARRA DE SANTANA,JOVENTINO ERNESTO DO REGO NETO
201025,2013,BAYEUX,EXPEDITO PEREIRA DE SOUZA
201028,2009,BERNARDINO BATISTA,JOSE EDOMARQUES GOMES
201028,2013,BERNARDINO BATISTA,GERVAZIO GOMES DOS SANTOS
201029,2009,BOA VENTURA,JOSE PINTO NETO
201029,2013,BOA VENTURA,MARIA LEONICE LOPES VITAL
201032,2009,BOM SUCESSO,GILSON CAVALCANTE DE OLIVEIRA
201032,2013,BOM SUCESSO,IVALDO WASHINGTON DE LIMA
201035,2009,BORBOREMA,JOSE RENATO EDUARDO DOS SANTOS
201035,2013,BORBOREMA,MARIA PAULA GOMES PEREIRA
201036,2009,BREJO DO CRUZ,FRANCISCO DUTRA SOBRINHO
201036,2013,BREJO DO CRUZ,ANA MARIA DUTRA DA SILVA
201037,2009,BREJO DOS SANTOS,LAURI FERREIRA DA COSTA
201037,2013,BREJO DOS SANTOS,LUIZ VIEIRA DE ALMEIDA
201039,2009,CABACEIRAS,RICARDO JORGE DE FARIAS AIRES
201039,2013,CABACEIRAS,LUIZ AIRES CAVALCANTE
201041,2009,CACHOEIRA DOS ÍNDIOS,ARLINDO FRANCISCO DE SOUSA
201041,2013,CACHOEIRA DOS ÍNDIOS,FRANCISCO DANTAS RICARTE
201044,2013,CACIMBAS,GERALDO TERTO DA SILVA
201046,2009,CAJAZEIRAS,LEONID SOUZA DE ABREU
201046,2013,CAJAZEIRAS,FRANCISCA DENISE ALBUQUERQUE DE OLIVEIRA
201047,2013,CAJAZEIRINHAS,CRISTOVAO AMARO DA SILVA FILHO
201050,2009,CAMPINA GRANDE,VENEZIANO VITAL DO REGO SEGUNDO NETO
201050,2013,CAMPINA GRANDE,ROMERO RODRIGUES VEIGA
201051,2013,TACIMA,ERIVAN BEZERRA DANIEL
201052,2009,CAPIM,EUCLIDES SERGIO COSTA DE LIMA
201052,2013,CAPIM,EDVALDO CARLOS FREIRE JUNIOR
201055,2013,CASSERENGUE,LUIS CARLOS FRANCISCO DOS SANTOS
201061,2009,CONDE,ALUISIO VINAGRE REGIS
201061,2013,CONDE,TATIANA LUNDGREN CORREA DE OLIVEIRA
201062,2009,CONGO,ROMUALDO ANTONIO QUIRINO DE SOUSA
201062,2013,CONGO,ROMUALDO ANTONIO QUIRINO DE SOUSA
201064,2009,COXIXOLA,NELSON HONORATO DA SILVA
201064,2013,COXIXOLA,GIVALDO LIMEIRA DE FARIAS
201066,2013,CUBATI,EDUARDO RONIELLE GUIMARAES MARTINS DANTAS
201069,2009,CUITEGI,EDNALDO PAULO LINO
201069,2013,CUITEGI,GUILHERME CUNHA MADRUGA JUNIOR
201073,2009,DESTERRO,DILSON DE ALMEIDA
201073,2013,DESTERRO,ROSANGELA DE FATIMA LEITE
201074,2009,DIAMANTE,HERCULES BARROS MANGUEIRA DINIZ
201076,2009,DUAS ESTRADAS,ROBERTO CARLOS NUNES
201076,2013,DUAS ESTRADAS,EDSON GOMES DE LUNA
201077,2009,EMAS,FERNANDA MARIA MARINHO DE MEDEIROS LOUREIRO
201077,2013,EMAS,JOSE WILLIAM SEGUNDO MADRUGA
201080,2013,FREI MARTINHO,AGUIFAILDO LIRA DANTAS
201081,2009,GADO BRAVO,AUSTERLIANO EVALDO ARAUJO
201081,2013,GADO BRAVO,AUSTERLIANO EVALDO ARAUJO
201082,2009,GUARABIRA,MARIA DE FATIMA DE AQUINO PAULINO
201085,2009,IBIARA,PEDRO FEITOZA LEITE
201085,2013,IBIARA,PEDRO FEITOZA LEITE
201086,2009,IGARACY,JUCELINO LIMA DE FARIAS
201086,2013,IGARACY,DEUSALEIDE JERONIMO LEITE
201089,2009,ITABAIANA,EURIDICE MOREIRA DA SILVA
201090,2009,ITAPORANGA,DJACI FARIAS BRASILEIRO
201090,2013,ITAPORANGA,AUDIBERG ALVES DE CARVALHO
201097,2013,JUAZEIRINHO,CARLEUSA CASTRO MARQUES DE OLIVEIRA RAULINO
201099,2013,JURIPIRANGA,PAULO DALIA TEIXEIRA
201102,2013,LAGOA DE DENTRO,FABIANO PEDRO DA SILVA
201103,2013,LAGOA SECA,JOSE TADEU SALES DE LUNA
201106,2009,LOGRADOURO,HUMBERTO LUIS LISBOA ALVES
201106,2013,LOGRADOURO,CELIA MARIA DE QUEIROZ CARVALHO
201107,2013,LUCENA,MARCELO SALES DE MENDONCA
201110,2013,MAMANGUAPE,EDUARDO CARNEIRO DE BRITO
201113,2013,MARI,MARCOS AURELIO MARTINS DE PAIVA
201116,2013,MATARACA,OLIMPIO DE ALENCAR ARAUJO BEZERRA
201118,2013,MATO GROSSO,RAELLYSON RODRIGO OLIVEIRA MONTEIRO
201121,2013,MONTADAS,JAIRO HERCULANO DE MELO
201122,2013,MONTE HOREBE,CLAUDIA APARECIDA DIAS
201123,2013,MONTEIRO,EDNACE ALVES SILVESTRE HENRIQUE
201124,2013,MULUNGU,JOANA DARC RODRIGUES BANDEIRA FERRAZ
201125,2009,NATUBA,JOSEVALDO ALVES DA SILVA
201125,2013,NATUBA,JOSE LINS DA SILVA FILHO
201127,2013,NOVA FLORESTA,JOAO ELIAS DA SILVEIRA NETO AZEVEDO
201129,2013,NOVA PALMEIRA,JOSE FELIX DE LIMA FILHO
201130,2009,OLHO D'ÁGUA,FRANCISCO DE ASSIS CARVALHO
201130,2013,OLHO D'ÁGUA,FRANCISCO DE ASSIS CARVALHO
201131,2009,OLIVEDOS,JOSIMAR GONCALVES COSTA
201131,2013,OLIVEDOS,GRIGORIO DE ALMEIDA SOUTO
201133,2009,PARARI,SOLANGE AIRES CALUETE GUIMARAES
201133,2013,PARARI,JOSE JOSEMAR FERREIRA DE SOUZA
201134,2009,PASSAGEM,AGAMENON BALDUINO DA NOBREGA
201134,2013,PASSAGEM,MAGNO SILVA MARTINS
201135,2009,PATOS,NABOR WANDERLEY DA NOBREGA FILHO
201135,2013,PATOS,FRANCISCA GOMES ARAUJO MOTTA
201137,2009,PEDRA BRANCA,JOSE DE ANCHIETA NOIA
201137,2013,PEDRA BRANCA,JOSE DE ANCHIETA NOIA
201139,2013,PEDRAS DE FOGO,DERIVALDO ROMAO DOS SANTOS
201148,2013,POCINHOS,CLAUDIO CHAVES COSTA
201151,2013,POMBAL,YASNAIA POLLYANNA WERTON DUTRA
201152,2009,PRATA,MARCEL NUNES DE FARIAS
201152,2013,PRATA,ANTONIO COSTA NOBREGA JUNIOR
201155,2013,QUEIMADAS,JACO MOREIRA MACIEL
