cd_Ugestora,dt_Ano,de_Ugestora,ELEITO
201163,2009,RIO TINTO,MAGNA CELI FERNANDES GERBASI
201163,2013,RIO TINTO,SEVERINA FERREIRA ALVES
201164,2009,SALGADINHO,DEBORA CRISTIANE FARIAS MORAIS
201164,2013,SALGADINHO,DEBORA CRISTIANE FARIAS MORAIS
201168,2009,SANTA HELENA,ELAIR DINIZ BRASILEIRO
201168,2013,SANTA HELENA,EMMANUEL FELIPE LUCENA MESSIAS
201170,2009,SANTA LUZIA,JOSE ADEMIR PEREIRA DE MORAIS
201170,2013,SANTA LUZIA,JOSE ADEMIR PEREIRA DE MORAIS
201172,2009,SANTA TERESINHA,DAVI CORDEIRO DE OLIVEIRA
201172,2013,SANTA TERESINHA,JOSE DE ARIMATEIA NUNES CAMBOIM
201202,2013,SERRA DA RAIZ,ADAILMA FERNANDES DA SILVA
201205,2009,SERRARIA,SEVERINO FERREIRA DA SILVA
201205,2013,SERRARIA,SEVERINO FERREIRA DA SILVA
201207,2009,SOBRADO,CELIA MARIA DE OLIVEIRA MELO
201207,2013,SOBRADO,GEORGE JOSE PORCIUNCULA PEREIRA COELHO
201209,2013,SOLEDADE,JOSE BENTO LEITE DO NASCIMENTO
201209,2013,SOLEDADE,FLAVIO AURELIANO DA SILVA NETO
201211,2009,SOUSA,FABIO TYRONE BRAGA DE OLIVEIRA
201211,2013,SOUSA,ANDRE AVELINO DE PAIVA GADELHA NETO
201214,2013,TAVARES,AILTON NIXON SUASSUNA PORTO
201215,2013,TEIXEIRA,EDMILSON ALVES DOS REIS
201217,2013,TRIUNFO,DAMISIO MANGUEIRA DA SILVA
201222,2009,VISTA SERRANA,JURANDY ARAUJO DA SILVA
201222,2013,VISTA SERRANA,JURANDY ARAUJO DA SILVA
