Abrangencia,Quantidade2009,Quantidade2013,DistanciaParaCapital,media
S<c3>O VICENTE DO SERID<d3>,7.322,8.069,214,7.6955
SAP<c9>,36.607,38.093,65,37.35
SERRA BRANCA,9.381,9.955,243,9.668
SERRA DA RAIZ,2.212,2.55,117,2.381
SERRA GRANDE,2.333,2.651,463,2.492
SERRA REDONDA,6.059,6.46,111,6.2595
SERRARIA,4.192,4.666,136,4.429
SERT<c3>OZINHO,3.296,3.809,122,3.5525
SOBRADO,6.229,6.641,58.9,6.435
SOL<c2>NEA,21.732,22.254,145,21.993
SOLEDADE,9.914,10.702,198,10.308
SOSSEGO,2.418,2.959,227,2.6885
SOUSA,45.161,46.854,444,46.0075
<c9>,11.91,12.644,275,12.277
TAPERO<c1>,10.25,10.846,261,10.548
TAVARES,10.276,10.873,409,10.5745
TEIXEIRA,9.719,10.357,316,10.038
TENORIO,2.271,2.492,248,2.3815
TRIUNFO,7.332,7.319,509,7.3255
UIRAUNA,10.741,11.212,480,10.9765
UMBUZEIRO,5.804,6.472,205,6.138
V<c1>RZEA,2.048,2.34,291,2.194
VIEIROPOLIS,4.535,4.978,471,4.7565
VISTA SERRANA,2.43,2.865,369,2.6475
ZABEL<ca>,1.695,1.959,333,1.827
