Abrangencia,Quantidade2009,Quantidade2013,DistanciaParaCapital,media
<c1>GUA BRANCA,6.54,6.949,373,6.7445
AGUIAR,4.208,4.64,435,4.424
ALAGOA GRANDE,22.07,23.334,118,22.702
ALAGOA NOVA,14.568,15.457,160,15.0125
ALAGOINHA,10.123,10.911,105,10.517
ALCANTIL,4.059,4.367,202,4.213
ALGOD<c3>O DE JANDAIRA,2.343,2.648,176,2.4955
ALHANDRA,14.123,16.179,45.7,15.151
AMPARO,1.904,2.153,307,2.0285
APARECIDA,5.846,6.455,426,6.1505
ARA<c7>AGI,13.831,14.627,90.8,14.229
ARARA,8.666,9.322,163,8.994
ARARUNA,12.832,13.663,167,13.2475
AREIA,18.17,19.058,136,18.614
AREIA DE BARAUNAS,1.748,1.896,267,1.822
AREIAL,5.147,5.571,166,5.359
AROEIRAS,14.932,15.686,149,15.309
ASSUN<c7><c3>O,2.949,3.341,241,3.145
BAIA DA TRAI<c7><c3>O,5.158,5.834,90,5.496
BANANEIRAS,16.565,17.489,141,17.027
BARA<da>NA,3.307,3.875,223,3.591
BARRA DE SANTA ROSA,10.058,10.892,192,10.475
BARRA DE SANTANA,6.832,7.326,170,7.079
BARRA DE S<c3>O MIGUEL,4.049,4.493,221,4.271
BAYEUX,67.441,70.215,16.7,68.828
BEL<c9>M,12.75,13.408,130,13.079
BEL<c9>M DO BREJO DO CRUZ,4.958,5.509,403,5.2335
BERNARDINO BATISTA,2.028,2.528,504,2.278
BOA VENTURA,5.055,5.239,446,5.147
BOA VISTA,4.855,5.545,188,5.2
BOM JESUS,2.195,2.632,504,2.4135
BOM SUCESSO,3.861,4.239,441,4.05
BONITO DE SANTA F<c9>,7.391,7.993,487,7.692
BOQUEIR<c3>O,11.107,12.996,175,12.0515
BORBOREMA,4.433,4.487,141,4.46
BREJO DO CRUZ,8.384,9.44,384,8.912
BREJO DOS SANTOS,4.609,5.282,423,4.9455
CAAPOR<c3>,15.874,16.286,61.6,16.08
CABACEIRAS,3.866,4.297,198,4.0815
CABEDELO,38.431,38.365,16.7,38.398
CACHOEIRA DOS <cd>NDIOS,6.1,7.022,502,6.561
CACIMBA DE AREIA,2.882,3.159,294,3.0205
CACIMBA DE DENTRO,11.41,12.982,171,12.196
CACIMBAS,4.051,5.133,305,4.592
CAI<c7>ARA,5.285,6.199,138,5.742
CAJAZEIRAS,41.643,43.688,485,42.6655
CAJAZEIRINHAS,3.186,3.436,384,3.311
CALDAS BRAND<c3>O,4.601,4.981,76.6,4.791
CAMALAU,4.59,4.857,312,4.7235
CAMPINA GRANDE,266.731,282.518,133,274.6245
CAPIM,3.739,4.627,62,4.183
CARA<da>BAS,3.138,3.543,241,3.3405
CARRAPATEIRA,1.871,2.208,486,2.0395
CASSERENGUE,5.436,5.824,165,5.63
CATINGUEIRA,3.813,4.217,358,4.015
CATOL<c9> DO ROCHA,19.937,20.943,413,20.44
CATURITE,3.883,4.475,162,4.179
CONCEI<c7><c3>O,13.127,13.999,480,13.563
CONDADO,4.918,5.543,356,5.2305
CONDE,13.091,16.448,26.3,14.7695
CONGO,4.036,4.524,307,4.28
COREMAS,11.506,11.993,404,11.7495
COXIXOLA,1.462,1.67,261,1.566
CRUZ DO ESPIRITO SANTO,12.822,14.014,36.1,13.418
CUBATI,5.258,5.903,224,5.5805
CUIT<c9>,15.218,16.262,227,15.74
CUIT<c9> DE MAMANGUAPE,4.819,6.17,71.3,5.4945
CUITEGI,5.356,5.584,111,5.47
CURRAL DE CIMA,4.56,5.011,89,4.7855
CURRAL VELHO,2.095,2.028,463,2.0615
DAMI<c3>O,3.71,4.116,191,3.913
DESTERRO,6.423,6.722,293,6.5725
DIAMANTE,5.388,5.489,452,5.4385
DONA IN<ca>S,8.516,9.047,175,8.7815
DUAS ESTRADAS,2.896,3.389,113,3.1425
EMAS,2.527,2.853,377,2.69
ESPERAN<c7>A,23.163,24.497,158,23.83
FAGUNDES,8.129,9.359,130,8.744
FREI MARTINHO,2.588,2.696,254,2.642
GADO BRAVO,5.496,6.82,185,6.158
GUARABIRA,36.379,39.217,107,37.798
GURINHEM,10.882,11.335,78.8,11.1085
GURJ<c3>O,2.731,2.904,230,2.8175
IBIARA,4.408,5.084,467,4.746
IGARACY,5.41,5.642,427,5.526
IMACULADA,8.047,8.445,353,8.246
ING<c1>,11.625,13.703,107,12.664
ITABAIANA,18.614,19.634,92.2,19.124
ITAPORANGA,16.129,16.946,428,16.5375
ITAPOROROCA,11.5,12.711,73.6,12.1055
ITATUBA,6.833,7.798,118,7.3155
JACARA<c9>,11.51,12.572,97.2,12.041
JERIC<d3>,5.553,6.276,418,5.9145
JO<c3>O PESSOA,444.454,483.167,0,463.8105
JUAREZ TAVORA,6.189,6.663,100,6.426
JUAZEIRINHO,11.33,12.415,223,11.8725
JUNCO DO SERID<d3>,4.822,5.131,242,4.9765
JURIPIRANGA,8.051,8.925,70.9,8.488
JURU,6.618,7.489,394,7.0535
LAGOA,3.845,4.339,460,4.092
LAGOA DE DENTRO,5.112,5.952,108,5.532
LAGOA SECA,17.95,19.696,142,18.823
LASTRO,2.741,3.115,475,2.928
LIVRAMENTO,5.329,5.462,290,5.3955
LOGRADOURO,2.727,3.123,134,2.925
LUCENA,9.341,10.123,54.6,9.732
M<c3>E D<U+0092>AGUA,3.281,3.708,354,3.4945
MALTA,4.032,4.638,347,4.335
MAMANGUAPE,29.212,32.183,59.5,30.6975
MANAIRA,8.395,8.583,4.5,8.489
MARCA<c7><c3>O,5.299,5.865,76.2,5.582
MARI,15.349,16.463,76.4,15.906
MARIZ<d3>POLIS,4.366,4.956,459,4.661
MASSARANDUBA,8.458,10.58,119,9.519
MATARACA,5.541,6.391,103,5.966
MATINHAS,3.354,3.791,156,3.5725
MATO GROSSO,1.772,2.422,426,2.097
MATUREIA,4.557,5.136,325,4.8465
MOGEIRO,10.217,11.169,109,10.693
MONTADAS,3.21,3.873,166,3.5415
MONTE HOREBE,3.183,3.824,491,3.5035
MONTEIRO,22.153,23.667,311,22.91
MULUNGU,7.528,8.424,90.5,7.976
NATUBA,6.56,6.632,159,6.596
NAZAREZINHO,5.311,6.067,467,5.689
NOVA FLORESTA,7.096,7.725,233,7.4105
NOVA OLINDA,4.785,5.038,435,4.9115
NOVA PALMEIRA,3.036,3.215,251,3.1255
OLHO D<U+0092>AGUA,6.257,6.574,380,6.4155
OLIVEDOS,2.756,3.243,200,2.9995
OURO VELHO,2.347,2.655,322,2.501
PARARI,1.513,1.891,244,1.702
PASSAGEM,1.991,2.184,282,2.0875
PATOS,65.386,66.617,317,66.0015
PAULISTA,9.297,9.476,396,9.3865
PEDRA BRANCA,2.999,3.414,446,3.2065
PEDRA LAVRADA,5.294,5.883,239,5.5885
PEDRAS DE FOGO,21.493,19.178,55.7,20.3355
PEDRO REGIS,4.16,4.523,96.6,4.3415
PIANC<d3>,11.051,11.272,398,11.1615
PICUI,13.782,14.339,234,14.0605
PILAR,8.568,9.177,64.7,8.8725
PIL<d5>ES,6.29,6.726,119,6.508
PIL<d5>EZINHOS,4.892,5.228,111,5.06
PIRPIRITUBA,7.306,7.78,118,7.543
PITIMBU,9.434,10.307,58.5,9.8705
POCINHOS,12.328,13.177,170,12.7525
PO<c7>O DANTAS,3.219,3.393,501,3.306
PO<c7>O DE JOS<c9> DE MOURA,3.297,3.846,499,3.5715
POMBAL,23.417,24.709,387,24.063
PRATA,3.079,3.491,135,3.285
PRINCESA ISABEL,14.213,15.145,426,14.679
PUXINAN<c3>,9.818,10.577,159,10.1975
QUEIMADAS,29.23,32.222,146,30.726
QUIXABA,1.536,1.738,300,1.637
REMIGIO,12.686,13.245,149,12.9655
RIACH<c3>O,2.773,3.196,161,2.9845
RIACH<c3>O DO BACAMARTE,3.506,4.06,105,3.783
RIACH<c3>O DO POCO,3.605,3.921,62.5,3.763
RIACHO DE SANTO ANT<d4>NIO,1.455,1.803,200,1.629
RIACHO DOS CAVALOS,5.857,6.871,442,6.364
RIO TINTO,17.471,18.119,67.3,17.795
SALGADINHO,2.556,2.716,254,2.636
SALGADO DE S<c3>O FELIX,10.17,10.608,105,10.389
SANTA CEC<cd>LIA,5.583,6.068,228,5.8255
SANTA CRUZ,4.7,5.268,137,4.984
SANTA HELENA,5.041,5.411,504,5.226
SANTA IN<ca>S,3.514,3.808,493,3.661
SANTA LUZIA,11.273,11.433,273,11.353
SANTA RITA,82.472,89.278,21.1,85.875
SANTA TERESINHA,3.744,4.544,337,4.144
SANTANA DE MANGUEIRA,4.044,4.644,474,4.344
SANTANA DOS GARROTES,6.092,5.392,421,5.742
SANTO ANDR<c9>,2.199,2.611,248,2.405
S<c3>O BENTINHO,3.179,3.459,371,3.319
S<c3>O BENTO,21.416,24.341,396,22.8785
S<c3>O DOMINGOS DE POMBAL,2.765,2.833,422,2.799
S<c3>O DOMINGOS DO CARIRI,1.918,2.354,225,2.136
S<c3>O FRANCISCO,3.014,3.321,446,3.1675
S<c3>O JO<c3>O DO CARIRI,3.805,4.031,224,3.918
S<c3>O JO<c3>O DO RIO DO PEIXE,14.064,14.284,480,14.174
SO JO<c3>O DO TIGRE,3.233,3.467,336,3.35
S<c3>O JOS<c9> DA LAGOA TAPADA,6.088,6.284,435,6.186
S<c3>O JOS<c9> DE CAIANA,4.743,4.944,450,4.8435
S<c3>O JOS<c9> DE ESPINHARAS,3.615,3.892,338,3.7535
S<c3>O JOS<c9> DE PIRANHAS,13.952,14.655,477,14.3035
S<c3>O JOS<c9> DE PRINCESA,3.395,3.48,440,3.4375
S<c3>O JOS<c9> DO BONFIM,3.057,3.311,333,3.184
S<c3>O JOS<c9> DO BREJO DO CRUZ,1.593,1.68,408,1.6365
S<c3>O JOS<c9> DO SABUGI,3.208,3.502,288,3.355
S<c3>O JOS<c9> DOS CORDEIROS,2.768,3.12,255,2.944
S<c3>O JOS<c9> DOS RAMOS,4.143,4.632,83,4.3875
S<c3>O MAMEDE,5.855,6.367,295,6.111
S<c3>O MIGUEL DE TAIPU,4.721,5.32,64.9,5.0205
S<c3>O SEBASTI<c3>O DE LAGOA DE RO<c7>A,8.284,8.662,148,8.473
S<c3>O SEBASTI<c3>O DO UMBUZEIRO,2.594,2.847,346,2.7205
