"cd_Ugestora","dt_Ano","de_Ugestora","nu_CNPJ","cd_Ibge","tp_NaturezaJuridica","tp_Administracao","dt_Cadastro","Status","cd_Chave","cd_Municipio"
"101105","2009","Câmara Municipal de Livramento","","250850505","1","1","","1","","105"
"101105","2010","Câmara Municipal de Livramento","","250850505","1","1","","1","","105"
"101105","2011","Câmara Municipal de Livramento","","250850505","1","1","","1","","105"
"101105","2012","Câmara Municipal de Livramento","","250850505","1","1","","1","","105"
"101105","2013","Câmara Municipal de Livramento","","250850505","1","1","","1","","105"
"101105","2014","Câmara Municipal de Livramento","","250850505","1","1","","1","","105"
"101105","2015","Câmara Municipal de Livramento","","250850505","1","1","","1","","105"
"101105","2016","Câmara Municipal de Livramento","","250850505","1","1","","1","","105"
"101106","2003","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2004","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2005","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2006","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2007","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2008","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2009","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2010","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2011","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2012","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2013","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2014","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2015","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101106","2016","Câmara Municipal de Logradouro","","250855405","1","1","","1","","106"
"101107","2003","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2004","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2005","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2006","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2007","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2008","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2009","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2010","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2011","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2012","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2013","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2014","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2015","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101107","2016","Câmara Municipal de Lucena","","250860405","1","1","","1","","107"
"101108","2003","Câmara Municipal de Mãe d'Água","","250870305","1","1","","1","","108"
"101108","2004","Câmara Municipal de Mãe d'Água","","250870305","1","1","","1","","108"
"101108","2005","Câmara Municipal de Mãe d'Água","","250870305","1","1","","1","","108"
