cd_Ugestora,dt_Ano,de_Ugestora,Eleito,Classe
201154,2009,PUXINANA,ABELARDO ANTONIO COUTINHO,IRREGULAR
201154,2013,PUXINANA,LUCIA DE FATIMA AIRES MIRANDA,IRREGULAR
201155,2009,QUEIMADAS,JOSE CARLOS DE SOUSA REGO,IRREGULAR
201155,2013,QUEIMADAS,JACO MOREIRA MACIEL,NAO IRREGULAR
201156,2009,QUIXABA,JULIO CEZAR DE MEDEIROS BATISTA,NAO IRREGULAR
201156,2013,QUIXABA,JULIO CEZAR DE MEDEIROS BATISTA,IRREGULAR
201157,2009,REMIGIO,LUIS CLAUDIO REGIS MARINHO,IRREGULAR
201157,2013,REMIGIO,MELCHIOR NAELSON BATISTA DA SILVA,NAO IRREGULAR
201158,2009,RIACHAO,PAULO DA CUNHA TORRES,NAO IRREGULAR
201158,2013,RIACHAO,FABIO MOURA DE MOURA,IRREGULAR
201159,2009,RIACHAO DO BACAMARTE,JOSE GIL MOTA TITO,NAO IRREGULAR
201159,2013,RIACHAO DO BACAMARTE,JOSE GIL MOTA TITO,IRREGULAR
201160,2009,RIACHAO DO POCO,MARIA AUXILIADORA DIAS DO REGO,IRREGULAR
201160,2013,RIACHAO DO POCO,JOSE CONSTANCIO SOBRINHO,NAO IRREGULAR
201161,2009,RIACHO DE SANTO ANTONIO,JOSE ROBERTO DE LIMA,IRREGULAR
201161,2013,RIACHO DE SANTO ANTONIO,JOSEVALDO DA SILVA COSTA,IRREGULAR
201162,2009,RIACHO DOS CAVALOS,SEBASTIAO PEREIRA PRIMO,IRREGULAR
201162,2013,RIACHO DOS CAVALOS,JOAQUIM HUGO VIEIRA CARNEIRO,IRREGULAR
201163,2009,RIO TINTO,MAGNA CELI FERNANDES GERBASI,NAO IRREGULAR
201163,2013,RIO TINTO,SEVERINA FERREIRA ALVES,NAO IRREGULAR
201164,2009,SALGADINHO,DEBORA CRISTIANE FARIAS MORAIS,NAO IRREGULAR
201164,2013,SALGADINHO,DEBORA CRISTIANE FARIAS MORAIS,NAO IRREGULAR
201165,2009,SALGADO DE SAO FELIX,ADAURIO ALMEIDA,IRREGULAR
201165,2013,SALGADO DE SAO FELIX,ADAURIO ALMEIDA,NAO IRREGULAR
201166,2009,SANTA CECILIA,ROBERTO FLORENTINO PESSOA,IRREGULAR
201166,2013,SANTA CECILIA,DANIEL LOPES DE MENDONCA,NAO IRREGULAR
201167,2009,SANTA CRUZ,RAIMUNDO ANTUNES BATISTA,IRREGULAR
201167,2013,SANTA CRUZ,RAIMUNDO ANTUNES BATISTA,NAO IRREGULAR
201168,2009,SANTA HELENA,ELAIR DINIZ BRASILEIRO,NAO IRREGULAR
201168,2013,SANTA HELENA,EMMANUEL FELIPE LUCENA MESSIAS,NAO IRREGULAR
201169,2009,SANTA INES,ADJEFFERSON KLEBER VIEIRA DINIZ,IRREGULAR
201169,2013,SANTA INES,JOAO NILDO LEITE,IRREGULAR
201170,2009,SANTA LUZIA,JOSE ADEMIR PEREIRA DE MORAIS,NAO IRREGULAR
201170,2013,SANTA LUZIA,JOSE ADEMIR PEREIRA DE MORAIS,NAO IRREGULAR
201171,2009,SANTA RITA,MARCUS ODILON RIBEIRO COUTINHO,IRREGULAR
201171,2013,SANTA RITA,REGINALDO PEREIRA DA COSTA,IRREGULAR
201172,2009,SANTA TERESINHA,DAVI CORDEIRO DE OLIVEIRA,NAO IRREGULAR
201172,2013,SANTA TERESINHA,JOSE DE ARIMATEIA NUNES CAMBOIM,NAO IRREGULAR
201173,2009,SANTANA DE MANGUEIRA,TANIA MANGUEIRA NITAO INACIO,IRREGULAR
201173,2013,SANTANA DE MANGUEIRA,TANIA MANGUEIRA NITAO INACIO,IRREGULAR
201174,2009,SANTANA DOS GARROTES,JOSE ALENCAR LIMA,IRREGULAR
201174,2013,SANTANA DOS GARROTES,ELIO RIBEIRO DE MORAIS,IRREGULAR
201175,2009,JOCA CLAUDINO,LUCRECIA ADRIANA DE ANDRADE BARBOSA DANTAS,IRREGULAR
201175,2013,JOCA CLAUDINO,LUCRECIA ADRIANA DE ANDRADE BARBOSA DANTAS,IRREGULAR
201176,2009,SANTO ANDRE,FENELON MEDEIROS FILHO,IRREGULAR
201176,2013,SANTO ANDRE,SILVANA FERNANDES MARINHO DE ARAUJO,NAO IRREGULAR
201177,2009,SAO BENTINHO,FRANCISCO ANDRADE CARREIRO,IRREGULAR
201177,2013,SAO BENTINHO,GIOVANA LEITE CAVALCANTI OLIMPIO,IRREGULAR
201178,2009,SAO BENTO,JACI SEVERINO DE SOUZA,NAO IRREGULAR
201178,2013,SAO BENTO,GEMILTON SOUZA DA SILVA,NAO IRREGULAR
201179,2009,SAO DOMINGOS,ADEILZA SOARES FREIRES,NAO IRREGULAR
201179,2013,SAO DOMINGOS,ODAISA DE CASSIA QUEIROGA DA SILVA NOBREGA,NAO IRREGULAR
201180,2009,SAO DOMINGOS DO CARIRI,JOSE FERREIRA DA SILVA,NAO IRREGULAR
201180,2013,SAO DOMINGOS DO CARIRI,JOSE FERREIRA DA SILVA,NAO IRREGULAR
201181,2009,SAO FRANCISCO,JOSE ROFRANTS LOPES CASIMIRO,NAO IRREGULAR
201181,2013,SAO FRANCISCO,JOAO BOSCO GADELHA DE OLIVEIRA FILHO,NAO IRREGULAR
201182,2009,SAO JOAO DO CARIRI,ROBERTO PEDRO MEDEIROS FILHO,IRREGULAR
201182,2013,SAO JOAO DO CARIRI,VALTER MARCONE MEDEIROS,NAO IRREGULAR
201183,2009,SAO JOAO DO RIO DO PEIXE,JOSE LAVOISIER GOMES DANTAS,IRREGULAR
201183,2013,SAO JOAO DO RIO DO PEIXE,JOSE AIRTON PIRES DE SOUSA,NAO IRREGULAR
201184,2009,SAO JOAO DO TIGRE,EDUARDO JORGE LIMA DE ARAUJO,IRREGULAR
201184,2013,SAO JOAO DO TIGRE,JOSE MAUCELIO BARBOSA,NAO IRREGULAR
201185,2009,SAO JOSE DA LAGOA TAPADA,EVILASIO FORMIGA LUCENA NETO,NAO IRREGULAR
201185,2013,SAO JOSE DA LAGOA TAPADA,EVILASIO FORMIGA LUCENA NETO,IRREGULAR
201186,2009,SAO JOSE DE CAIANA,JOSE WALTER MARINHO MARSICANO JUNIOR,IRREGULAR
201186,2013,SAO JOSE DE CAIANA,JOSE WALTER MARINHO MARSICANO JUNIOR,NAO IRREGULAR
201187,2009,SAO JOSE DE ESPINHARAS,RICARDO VILAR WANDERLEY NOBREGA,NAO IRREGULAR
201187,2013,SAO JOSE DE ESPINHARAS,RENE TRIGUEIRO CAROCA,NAO IRREGULAR
201188,2009,SAO JOSE DE PIRANHAS,DOMINGOS LEITE DA SILVA NETO,IRREGULAR
201188,2013,SAO JOSE DE PIRANHAS,DOMINGOS LEITE DA SILVA NETO,NAO IRREGULAR
201189,2009,SAO JOSE DE PRINCESA,LUIS FERREIRA DE MORAIS,NAO IRREGULAR
201189,2013,SAO JOSE DE PRINCESA,LUIZ FERREIRA DE MORAIS,NAO IRREGULAR
201190,2009,SAO JOSE DO BONFIM,ESAU RAUEL ARAUJO DA SILVA NOBREGA,NAO IRREGULAR
201190,2013,SAO JOSE DO BONFIM,ROSALBA GOMES DA NOBREGA,NAO IRREGULAR
201191,2009,SAO JOSE DO BREJO DO CRUZ,ALDINEIDE SARAIVA DE OLIVEIRA,IRREGULAR
201191,2013,SAO JOSE DO BREJO DO CRUZ,ALDINEIDE SARAIVA DE OLIVEIRA,IRREGULAR
201192,2009,SAO JOSE DO SABUGI,JOSE DERCI DE MEDEIROS,NAO IRREGULAR
201192,2009,SAO JOSE DO SABUGI,IRACEMA NELIS DE ARAUJO DANTAS,NAO IRREGULAR
201192,2013,SAO JOSE DO SABUGI,IRACEMA NELIS DE ARAUJO DANTAS,NAO IRREGULAR
201193,2009,SAO JOSE DOS CORDEIROS,FERNANDO MARCOS DE QUEIROZ,IRREGULAR
201193,2013,SAO JOSE DOS CORDEIROS,FERNANDO MARCOS DE QUEIROZ,NAO IRREGULAR
201194,2009,SAO JOSE DOS RAMOS,MARIA APARECIDA RODRIGUES DE AMORIM,IRREGULAR
201194,2013,SAO JOSE DOS RAMOS,EDUARDO GINDRE CAXIAS DE LIMA,IRREGULAR
201195,2009,SAO MAMEDE,FRANCISCO DAS CHAGAS LOPES DE SOUSA,IRREGULAR
201195,2013,SAO MAMEDE,FRANCISCO DAS CHAGAS LOPES DE SOUSA,NAO IRREGULAR
201196,2009,SAO MIGUEL DE TAIPU,MARCILENE SALES DA COSTA,NAO IRREGULAR
201196,2013,SAO MIGUEL DE TAIPU,CLODOALDO BELTRAO BEZERRA DE MELO,NAO IRREGULAR
201197,2009,SAO SEBASTIAO DE LAGOA DE ROCA,LUCIO FLAVIO BEZERRA DE BRITO,NAO IRREGULAR
201197,2013,SAO SEBASTIAO DE LAGOA DE ROCA,MARIA DO SOCORRO CARDOSO,NAO IRREGULAR
201198,2009,SAO SEBASTIAO DO UMBUZEIRO,FRANCISCO ALIPIO NEVES,NAO IRREGULAR
201198,2013,SAO SEBASTIAO DO UMBUZEIRO,FRANCISCO ALIPIO NEVES,NAO IRREGULAR
201199,2009,SAO VICENTE DO SERIDO,FRANCISCO ALVES DA SILVA,IRREGULAR
201199,2013,SAO VICENTE DO SERIDO,MARIA GRACIETE DO NASCIMENTO DANTAS,IRREGULAR
201200,2009,SAPE,JOAO CLEMENTE NETO,IRREGULAR
201200,2013,SAPE,FLAVIO ROBERTO MALHEIROS FELICIANO,IRREGULAR
201201,2009,SERRA BRANCA,EDUARDO JOSE TORREAO MOTA,IRREGULAR
201201,2013,SERRA BRANCA,EDUARDO JOSE TORREAO MOTA,NAO IRREGULAR
201202,2009,SERRA DA RAIZ,LUIZ GONZAGA BEZERRA DUARTE,IRREGULAR
201202,2013,SERRA DA RAIZ,ADAILMA FERNANDES DA SILVA,NAO IRREGULAR
201203,2009,SERRA GRANDE,JOAO BOSCO CAVALCANTE,IRREGULAR
201203,2013,SERRA GRANDE,JAIRO HALLEY DE MOURA CRUZ,IRREGULAR
201204,2009,SERRA REDONDA,MANOEL MARCELO DE ANDRADE,IRREGULAR
201204,2013,SERRA REDONDA,MANOEL MARCELO DE ANDRADE,NAO IRREGULAR
201205,2009,SERRARIA,SEVERINO FERREIRA DA SILVA,NAO IRREGULAR
201205,2013,SERRARIA,SEVERINO FERREIRA DA SILVA,NAO IRREGULAR
201206,2009,SERTAOZINHO,ANTONIO RIBEIRO FILHO,NAO IRREGULAR
201206,2013,SERTAOZINHO,MARCIA MOUSINHO ARAUJO,NAO IRREGULAR
201207,2009,SOBRADO,CELIA MARIA DE OLIVEIRA MELO,NAO IRREGULAR
201207,2013,SOBRADO,GEORGE JOSE PORCIUNCULA PEREIRA COELHO,NAO IRREGULAR
201208,2009,SOLANEA,FRANCISCO DE ASSIS DE MELO,IRREGULAR
201208,2013,SOLANEA,SEBASTIAO ALBERTO CANDIDO DA CRUZ,IRREGULAR
201209,2009,SOLEDADE,JOSE IVANILDO BARROS GOUVEIA,IRREGULAR
201209,2013,SOLEDADE,JOSE BENTO LEITE DO NASCIMENTO,NAO IRREGULAR
201209,2013,SOLEDADE,FLAVIO AURELIANO DA SILVA NETO,NAO IRREGULAR
201210,2009,SOSSEGO,CARLOS ANTONIO ALVES DA SILVA,IRREGULAR
201210,2013,SOSSEGO,CARLOS ANTONIO ALVES DA SILVA,NAO IRREGULAR
201211,2009,SOUSA,FABIO TYRONE BRAGA DE OLIVEIRA,NAO IRREGULAR
201211,2013,SOUSA,ANDRE AVELINO DE PAIVA GADELHA NETO,NAO IRREGULAR
201212,2009,SUME,FRANCISCO DUARTE DA SILVA NETO,IRREGULAR
201212,2013,SUME,FRANCISCO DUARTE DA SILVA NETO,NAO IRREGULAR
201213,2009,TAPEROA,DEOCLECIO MOURA FILHO,IRREGULAR
201213,2013,TAPEROA,JURANDI GOUVEIA FARIAS,IRREGULAR
201214,2009,TAVARES,JOSE SEVERIANO DE PAULO BEZERRA DA SILVA,IRREGULAR
201214,2013,TAVARES,AILTON NIXON SUASSUNA PORTO,NAO IRREGULAR
201215,2009,TEIXEIRA,WENCESLAU SOUZA MARQUES,IRREGULAR
201215,2013,TEIXEIRA,EDMILSON ALVES DOS REIS,NAO IRREGULAR
201216,2009,TENORIO,DENILTON GUEDES ALVES,IRREGULAR
201216,2013,TENORIO,EVILAZIO DE ARAUJO SOUTO,IRREGULAR
201217,2009,TRIUNFO,ITAMAR MANGUEIRA DE SOUSA,IRREGULAR
201217,2013,TRIUNFO,DAMISIO MANGUEIRA DA SILVA,NAO IRREGULAR
201218,2009,UIRAUNA,GLORIA GEANE DE OLIVEIRA FERNANDES,NAO IRREGULAR
201218,2013,UIRAUNA,JOAO BOSCO NONATO FERNANDES,IRREGULAR
201219,2009,UMBUZEIRO,ANTONIO FERNANDES DE LIMA,IRREGULAR
201219,2013,UMBUZEIRO,THIAGO PESSOA CAMELO,IRREGULAR
201220,2009,VARZEA,JOSE IVALDO DE MORAIS,NAO IRREGULAR
201220,2013,VARZEA,JOSE IVALDO DE MORAIS,NAO IRREGULAR
201221,2009,VIEIROPOLIS,MARCOS PEREIRA DE OLIVEIRA,IRREGULAR
201221,2013,VIEIROPOLIS,ANTONIO CEZAR BRAGA,NAO IRREGULAR
201222,2009,VISTA SERRANA,JURANDY ARAUJO DA SILVA,NAO IRREGULAR
201222,2013,VISTA SERRANA,JURANDY ARAUJO DA SILVA,NAO IRREGULAR
201223,2009,ZABELE,IRIS DE CEU DE SOUSA HENRIQUE,IRREGULAR
201223,2013,ZABELE,IRIS DE CEU DE SOUSA HENRIQUE,NAO IRREGULAR
