cd_Ugestora,dt_Ano,de_Ugestora,Eleito,Classe
201023,2013,BARRA DE SANTANA,JOVENTINO ERNESTO DO REGO NETO,NAO IRREGULAR
201024,2009,BARRA DE SAO MIGUEL,LUZINECTT TEXEIRA LOPES,IRREGULAR
201024,2013,BARRA DE SAO MIGUEL,LUZINECTT TEIXEIRA LOPES,NAO IRREGULAR
201025,2009,BAYEUX,JOSIVAL JUNIOR DE SOUZA,IRREGULAR
201025,2013,BAYEUX,EXPEDITO PEREIRA DE SOUZA,NAO IRREGULAR
201026,2009,BELEM,ROBERTO FLAVIO GUEDES BARBOSA,NAO IRREGULAR
201026,2013,BELEM,EDGARD GAMA,NAO IRREGULAR
201027,2009,BELEM DO BREJO DO CRUZ,GERMANO LACERDA DA CUNHA,IRREGULAR
201027,2013,BELEM DO BREJO DO CRUZ,GERMANO LACERDA DA CUNHA,NAO IRREGULAR
201028,2009,BERNARDINO BATISTA,JOSE EDOMARQUES GOMES,NAO IRREGULAR
201028,2013,BERNARDINO BATISTA,GERVAZIO GOMES DOS SANTOS,NAO IRREGULAR
201029,2009,BOA VENTURA,JOSE PINTO NETO,NAO IRREGULAR
201029,2013,BOA VENTURA,MARIA LEONICE LOPES VITAL,NAO IRREGULAR
201030,2009,BOA VISTA,EDVAN PEREIRA LEITE,IRREGULAR
201030,2013,BOA VISTA,EDVAN PEREIRA LEITE,NAO IRREGULAR
201031,2009,BOM JESUS,MANOEL DANTAS VENCESLAU,IRREGULAR
201031,2013,BOM JESUS,ROBERTO BANDEIRA DE MELO BARBOSA,IRREGULAR
201032,2009,BOM SUCESSO,GILSON CAVALCANTE DE OLIVEIRA,NAO IRREGULAR
201032,2013,BOM SUCESSO,IVALDO WASHINGTON DE LIMA,NAO IRREGULAR
201033,2009,BONITO DE SANTA FE,ALDERI DE OLIVEIRA CAJU,IRREGULAR
201033,2013,BONITO DE SANTA FE,ALDERI DE OLIVEIRA CAJU,NAO IRREGULAR
201034,2009,BOQUEIRAO,CARLOS JOSE CASTRO MARQUES,NAO IRREGULAR
201034,2013,BOQUEIRAO,JOAO PAULO BARBOSA LEAL SEGUNDO,NAO IRREGULAR
201035,2009,BORBOREMA,JOSE RENATO EDUARDO DOS SANTOS,NAO IRREGULAR
201035,2013,BORBOREMA,MARIA PAULA GOMES PEREIRA,NAO IRREGULAR
201036,2009,BREJO DO CRUZ,FRANCISCO DUTRA SOBRINHO,NAO IRREGULAR
201036,2013,BREJO DO CRUZ,ANA MARIA DUTRA DA SILVA,NAO IRREGULAR
201037,2009,BREJO DOS SANTOS,LAURI FERREIRA DA COSTA,NAO IRREGULAR
201037,2013,BREJO DOS SANTOS,LUIZ VIEIRA DE ALMEIDA,NAO IRREGULAR
201038,2009,CAAPORA,JOAO BATISTA SOARES,IRREGULAR
201038,2013,CAAPORA,JOAO BATISTA SOARES,IRREGULAR
201039,2009,CABACEIRAS,RICARDO JORGE DE FARIAS AIRES,NAO IRREGULAR
201039,2013,CABACEIRAS,LUIZ AIRES CAVALCANTE,NAO IRREGULAR
201040,2009,CABEDELO,JOSE FRANCISCO REGIS,IRREGULAR
201040,2013,CABEDELO,JOSE MARIA DE LUCENA FILHO,IRREGULAR
201041,2009,CACHOEIRA DOS INDIOS,ARLINDO FRANCISCO DE SOUSA,NAO IRREGULAR
201041,2013,CACHOEIRA DOS INDIOS,FRANCISCO DANTAS RICARTE,NAO IRREGULAR
201042,2009,CACIMBA DE AREIA,INACIO ROBERTO DE LIRA CAMPOS,IRREGULAR
201042,2013,CACIMBA DE AREIA,ORISMAN FERREIRA DA NOBREGA,IRREGULAR
201043,2009,CACIMBA DE DENTRO,EDMILSON GOMES DE SOUZA,IRREGULAR
201043,2013,CACIMBA DE DENTRO,EDMILSON GOMES DE SOUZA,NAO IRREGULAR
201044,2009,CACIMBAS,NILTON DE ALMEIDA,IRREGULAR
201044,2013,CACIMBAS,GERALDO TERTO DA SILVA,NAO IRREGULAR
201045,2009,CAICARA,HUGO ANTONIO LISBOA ALVES,NAO IRREGULAR
201045,2013,CAICARA,CICERO FRANCISCO DA SILVA,NAO IRREGULAR
201046,2009,CAJAZEIRAS,LEONID SOUZA DE ABREU,NAO IRREGULAR
201046,2013,CAJAZEIRAS,FRANCISCA DENISE ALBUQUERQUE DE OLIVEIRA,NAO IRREGULAR
201047,2009,CAJAZEIRINHAS,JOSE ALMEIDA SILVA,IRREGULAR
201047,2013,CAJAZEIRINHAS,CRISTOVAO AMARO DA SILVA FILHO,NAO IRREGULAR
201048,2009,CALDAS BRANDAO,JOAO BATISTA DIAS,IRREGULAR
201048,2013,CALDAS BRANDAO,NEUMA RODRIGUES DE MOURA SOARES,IRREGULAR
201049,2009,CAMALAU,ARISTEU CHAVES SOUSA,NAO IRREGULAR
201049,2013,CAMALAU,JACINTO BEZERRA DA SILVA,NAO IRREGULAR
201050,2009,CAMPINA GRANDE,VENEZIANO VITAL DO REGO SEGUNDO NETO,NAO IRREGULAR
201050,2013,CAMPINA GRANDE,ROMERO RODRIGUES VEIGA,NAO IRREGULAR
201051,2009,CAMPO DE SANTANA,TARGINO PEREIRA DA COSTA NETO,NAO IRREGULAR
201051,2013,CAMPO DE SANTANA,ERIVAN BEZERRA DANIEL,NAO IRREGULAR
201052,2009,CAPIM,EUCLIDES SERGIO COSTA DE LIMA,NAO IRREGULAR
201052,2013,CAPIM,EDVALDO CARLOS FREIRE JUNIOR,NAO IRREGULAR
201053,2009,CARAUBAS,SEVERINO VIRGINIO DA SILVA,NAO IRREGULAR
201053,2013,CARAUBAS,SEVERINO VIRGINIO DA SILVA,NAO IRREGULAR
201054,2009,CARRAPATEIRA,JOSE ARDISON PEREIRA,IRREGULAR
201054,2013,CARRAPATEIRA,ANDRE PEDROSA ALVES,IRREGULAR
201055,2009,CASSERENGUE,GENIVAL BENTO DA SILVA,IRREGULAR
201055,2013,CASSERENGUE,LUIS CARLOS FRANCISCO DOS SANTOS,NAO IRREGULAR
201056,2009,CATINGUEIRA,JOSE EDIVAN FELIX,IRREGULAR
201056,2013,CATINGUEIRA,ALBINO FELIX DE SOUSA NETO,IRREGULAR
201057,2009,CATOLE DO ROCHA,EDVALDO CAETANO DA SILVA,IRREGULAR
201057,2013,CATOLE DO ROCHA,LEOMAR BENICIO MAIA,IRREGULAR
201058,2009,CATURITE,JOSE GERVAZIO DA CRUZ,NAO IRREGULAR
201058,2013,CATURITE,JAIR DA SILVA RAMOS,IRREGULAR
201059,2009,CONCEICAO,VANI LEITE BRAGA DE FIGUEIREDO,IRREGULAR
201059,2013,CONCEICAO,JOSE IVANILSON SOARES DE LACERDA,NAO IRREGULAR
201060,2009,CONDADO,EUGENIO PACELLI DE LIMA,IRREGULAR
201060,2013,CONDADO,CAIO RODRIGO BEZERRA PAIXAO,IRREGULAR
201061,2009,CONDE,ALUISIO VINAGRE REGIS,NAO IRREGULAR
201061,2013,CONDE,TATIANA LUNDGREN CORREA DE OLIVEIRA,NAO IRREGULAR
201062,2009,CONGO,ROMUALDO ANTONIO QUIRINO DE SOUSA,NAO IRREGULAR
201062,2013,CONGO,ROMUALDO ANTONIO QUIRINO DE SOUSA,NAO IRREGULAR
201063,2009,COREMAS,EDILSON PEREIRA DE OLIVEIRA,IRREGULAR
201063,2013,COREMAS,ANTONIO CARLOS CAVALCANTI LOPES,IRREGULAR
201064,2009,COXIXOLA,NELSON HONORATO DA SILVA,NAO IRREGULAR
