Abrangencia,Quantidade2009,Quantidade2013,DistanciaParaCapital,media
ÁGUA BRANCA,6.54,6.949,373,6.7445
AGUIAR,4.208,4.64,435,4.424
ALAGOA GRANDE,22.07,23.334,118,22.702
ALAGOA NOVA,14.568,15.457,160,15.0125
ALAGOINHA,10.123,10.911,105,10.517
ALCANTIL,4.059,4.367,202,4.213
ALGODÃO DE JANDAIRA,2.343,2.648,176,2.4955
ALHANDRA,14.123,16.179,45.7,15.151
AMPARO,1.904,2.153,307,2.0285
APARECIDA,5.846,6.455,426,6.1505
ARAÇAGI,13.831,14.627,90.8,14.229
ARARA,8.666,9.322,163,8.994
ARARUNA,12.832,13.663,167,13.2475
AREIA,18.17,19.058,136,18.614
AREIA DE BARAUNAS,1.748,1.896,267,1.822
AREIAL,5.147,5.571,166,5.359
AROEIRAS,14.932,15.686,149,15.309
ASSUNÇÃO,2.949,3.341,241,3.145
BAIA DA TRAIÇÃO,5.158,5.834,90,5.496
BANANEIRAS,16.565,17.489,141,17.027
BARAÚNA,3.307,3.875,223,3.591
BARRA DE SANTA ROSA,10.058,10.892,192,10.475
BARRA DE SANTANA,6.832,7.326,170,7.079
BARRA DE SÃO MIGUEL,4.049,4.493,221,4.271
BAYEUX,67.441,70.215,16.7,68.828
BELÉM,12.75,13.408,130,13.079
BELÉM DO BREJO DO CRUZ,4.958,5.509,403,5.2335
BERNARDINO BATISTA,2.028,2.528,504,2.278
BOA VENTURA,5.055,5.239,446,5.147
BOA VISTA,4.855,5.545,188,5.2
BOM JESUS,2.195,2.632,504,2.4135
BOM SUCESSO,3.861,4.239,441,4.05
BONITO DE SANTA FÉ,7.391,7.993,487,7.692
BOQUEIRÃO,11.107,12.996,175,12.0515
BORBOREMA,4.433,4.487,141,4.46
BREJO DO CRUZ,8.384,9.44,384,8.912
BREJO DOS SANTOS,4.609,5.282,423,4.9455
CAAPORÃ,15.874,16.286,61.6,16.08
CABACEIRAS,3.866,4.297,198,4.0815
CABEDELO,38.431,38.365,16.7,38.398
