de_Ugestora,cd_Ugestora,dt_Ano,ELEITO,Classe,Candidato2016,nu_Dispensas,nu_Aditivo_Prazo,nu_Aditivo_Devolucao,nu_Aditivo_Valor,nu_Aditivos_Totais,nu_Contrato,Quantidade2009,Quantidade2013,DistanciaParaCapital,Media
ÁGUA BRANCA,201001,2009,AROUDO FIRMINO BATISTA,Julgado,FALSE,13,2,0,5,7,111,0,0,0,0
ÁGUA BRANCA,201001,2013,TARCISIO ALVES FIRMINO,Julgado,TRUE,16,60,1,65,126,24,0,0,0,0
ALAGOA NOVA,201004,2009,KLEBER HERCULANO DE MORAES,Julgado,FALSE,24,5,0,21,26,504,14.568,15.457,160,15.0125
ALAGOINHA,201005,2009,ALCIONE MARACAJA DE MORAIS BELTRAO,Julgado,FALSE,7,0,0,0,0,106,10.123,10.911,105,10.517
ALHANDRA,201008,2009,RENATO MENDES LEITE,Julgado,TRUE,24,70,0,108,178,381,14.123,16.179,45.7,15.151
ALHANDRA,201008,2013,MARCELO RODRIGUES DA COSTA,Nao julgado,TRUE,26,54,1,75,130,31,14.123,16.179,45.7,15.151
ARARUNA,201013,2009,WILMA TARGINO MARANHAO,Julgado,FALSE,3,23,0,41,64,162,12.832,13.663,167,13.2475
AROEIRAS,201017,2013,MYLTON DOMINGUES DE AGUIAR MARQUES,Julgado,TRUE,39,36,0,45,81,42,14.932,15.686,149,15.309
AROEIRAS,201017,2009,GILSEPPE DE OLIVEIRA SOUSA,Julgado,FALSE,23,114,0,162,276,329,14.932,15.686,149,15.309
BARRA DE SANTA ROSA,201022,2013,FABIAN DUTRA SILVA,Julgado,FALSE,16,35,0,41,76,1,10.058,10.892,192,10.475
BARRA DE SANTA ROSA,201022,2009,EVALDO COSTA GOMES,Julgado,FALSE,1,4,0,13,17,71,10.058,10.892,192,10.475
BAYEUX,201025,2013,EXPEDITO PEREIRA DE SOUZA,Nao julgado,TRUE,78,73,1,134,208,54,67.441,70.215,16.7,68.828
BAYEUX,201025,2009,JOSIVAL JUNIOR DE SOUZA,Julgado,FALSE,84,115,0,179,294,237,67.441,70.215,16.7,68.828
BOA VISTA,201030,2009,EDVAN PEREIRA LEITE,Julgado,FALSE,11,10,0,89,99,214,4.855,5.545,188,5.2
BOM JESUS,201031,2013,ROBERTO BANDEIRA DE MELO BARBOSA,Julgado,TRUE,3,4,0,4,8,39,2.195,2.632,504,2.4135
