de_Ugestora,cd_Ugestora,dt_Ano,ELEITO,Classe,Candidato2016,nu_Dispensas,nu_Aditivo_Prazo,nu_Aditivo_Devolucao,nu_Aditivo_Valor,nu_Aditivos_Totais,nu_Contrato,Quantidade2009,Quantidade2013,DistanciaParaCapital,Media
BOM JESUS,201031,2009,MANOEL DANTAS VENCESLAU,Julgado,FALSE,2,0,0,0,0,142,2.195,2.632,504,2.4135
CABEDELO,201040,2009,JOSE FRANCISCO REGIS,Julgado,FALSE,33,43,0,46,89,529,38.431,38.365,16.7,38.398
CABEDELO,201040,2013,JOSE MARIA DE LUCENA FILHO,Julgado,FALSE,143,51,3,72,126,18,38.431,38.365,16.7,38.398
CACIMBA DE AREIA,201042,2009,INACIO ROBERTO DE LIRA CAMPOS,Julgado,FALSE,8,9,0,11,20,226,2.882,3.159,294,3.0205
CACIMBA DE AREIA,201042,2013,ORISMAN FERREIRA DA NOBREGA,Julgado,TRUE,5,11,0,11,22,5,2.882,3.159,294,3.0205
CACIMBA DE DENTRO,201043,2009,EDMILSON GOMES DE SOUZA,Julgado,FALSE,3,1,0,3,4,241,11.41,12.982,171,12.196
CACIMBAS,201044,2013,GERALDO TERTO DA SILVA,Nao julgado,TRUE,23,15,0,17,32,23,4.051,5.133,305,4.592
CACIMBAS,201044,2009,NILTON DE ALMEIDA,Julgado,TRUE,36,2,0,4,6,246,4.051,5.133,305,4.592
CAJAZEIRINHAS,201047,2009,JOSE ALMEIDA SILVA,Julgado,FALSE,12,1,0,3,4,136,3.186,3.436,384,3.311
CAJAZEIRINHAS,201047,2013,CRISTOVAO AMARO DA SILVA FILHO,Nao julgado,FALSE,15,4,0,4,8,17,3.186,3.436,384,3.311
CARRAPATEIRA,201054,2009,JOSE ARDISON PEREIRA,Julgado,TRUE,5,0,0,0,0,136,1.871,2.208,486,2.0395
CARRAPATEIRA,201054,2013,ANDRE PEDROSA ALVES,Julgado,FALSE,12,8,0,9,17,2,1.871,2.208,486,2.0395
CASSERENGUE,201055,2013,LUIS CARLOS FRANCISCO DOS SANTOS,Nao julgado,FALSE,21,17,0,25,42,47,5.436,5.824,165,5.63
CASSERENGUE,201055,2009,GENIVAL BENTO DA SILVA,Julgado,FALSE,13,3,0,4,7,217,5.436,5.824,165,5.63
CATINGUEIRA,201056,2009,JOSE EDIVAN FELIX,Julgado,FALSE,3,3,0,3,6,95,3.813,4.217,358,4.015
CATINGUEIRA,201056,2013,ALBINO FELIX DE SOUSA NETO,Julgado,FALSE,2,15,0,15,30,17,3.813,4.217,358,4.015
CONDADO,201060,2009,EUGENIO PACELLI DE LIMA,Julgado,FALSE,24,7,0,17,24,210,4.918,5.543,356,5.2305
CONDADO,201060,2013,CAIO RODRIGO BEZERRA PAIXAO,Julgado,TRUE,22,19,1,25,45,1,4.918,5.543,356,5.2305
COREMAS,201063,2009,EDILSON PEREIRA DE OLIVEIRA,Julgado,TRUE,4,59,0,111,170,329,11.506,11.993,404,11.7495
COREMAS,201063,2013,ANTONIO CARLOS CAVALCANTI LOPES,Julgado,TRUE,2,28,4,73,105,13,11.506,11.993,404,11.7495
CUBATI,201066,2013,EDUARDO RONIELLE GUIMARAES MARTINS DANTAS,Nao julgado,FALSE,4,17,1,19,37,14,5.258,5.903,224,5.5805
CUBATI,201066,2009,DIMAS PEREIRA DA SILVA,Julgado,FALSE,0,0,0,0,0,55,5.258,5.903,224,5.5805
CURRAL DE CIMA,201070,2009,NADIR FERNANDES DE FARIAS,Julgado,FALSE,1,0,0,0,0,44,4.56,5.011,89,4.7855
CURRAL DE CIMA,201070,2013,NADIR FERNANDES DE FARIAS,Julgado,FALSE,1,2,0,2,4,27,4.56,5.011,89,4.7855
CURRAL VELHO,201071,2009,LUIZ ALVES BARBOSA,Julgado,FALSE,1,1,0,2,3,211,2.095,2.028,463,2.0615
CURRAL VELHO,201071,2013,JOAQUIM ALVES BARBOSA FILHO,Julgado,TRUE,0,1,1,1,3,10,2.095,2.028,463,2.0615
DIAMANTE,201074,2009,HERCULES BARROS MANGUEIRA DINIZ,Nao julgado,FALSE,7,14,0,33,47,243,5.388,5.489,452,5.4385
DIAMANTE,201074,2013,MARCILIA MANGUEIRA GUIMARAES,Julgado,FALSE,3,13,0,14,27,19,5.388,5.489,452,5.4385
FAGUNDES,201079,2009,GILBERTO MUNIZ DANTAS,Julgado,FALSE,7,0,0,0,0,305,8.129,9.359,130,8.744
FAGUNDES,201079,2013,JOSE PEDRO DA SILVA,Julgado,FALSE,14,28,0,35,63,23,8.129,9.359,130,8.744
FREI MARTINHO,201080,2013,AGUIFAILDO LIRA DANTAS,Nao julgado,TRUE,14,70,0,70,140,20,2.588,2.696,254,2.642
FREI MARTINHO,201080,2009,FRANCIVALDO SANTOS DE ARAUJO,Julgado,FALSE,0,13,0,13,26,85,2.588,2.696,254,2.642
GUARABIRA,201082,2013,ZENOBIO TOSCANO DE OLIVEIRA,Julgado,TRUE,56,64,1,116,181,58,36.379,39.217,107,37.798
GUARABIRA,201082,2009,MARIA DE FATIMA DE AQUINO PAULINO,Nao julgado,TRUE,51,192,0,456,648,935,36.379,39.217,107,37.798
IMACULADA,201087,2009,JOSE RIBAMAR DA SILVA,Julgado,FALSE,0,0,0,0,0,0,8.047,8.445,353,8.246
IMACULADA,201087,2013,ALDO LUSTOSA DA SILVA,Julgado,TRUE,10,19,0,19,38,8,8.047,8.445,353,8.246
ITABAIANA,201089,2009,EURIDICE MOREIRA DA SILVA,Nao julgado,FALSE,14,0,0,0,0,126,18.614,19.634,92.2,19.124
ITABAIANA,201089,2013,ANTONIO CARLOS RODRIGUES DE MELO JUNIOR,Julgado,TRUE,53,1,1,1,3,11,18.614,19.634,92.2,19.124
ITAPOROROCA,201091,2009,CELSO DE MORAIS ANDRADE NETO,Julgado,FALSE,2,10,0,33,43,50,11.5,12.711,73.6,12.1055
ITATUBA,201092,2013,ARON RENE MARTINS DE ANDRADE,Julgado,TRUE,27,31,0,42,73,19,6.833,7.798,118,7.3155
ITATUBA,201092,2009,RENATO LACERDA MARTINS,Julgado,FALSE,13,8,0,23,31,146,6.833,7.798,118,7.3155
JOCA CLAUDINO,201175,2013,LUCRECIA ADRIANA DE ANDRADE BARBOSA DANTAS,Julgado,FALSE,5,27,0,32,59,6,0,0,0,0
JUAZEIRINHO,201097,2009,BEVILACQUA MATIAS MARACAJA,Julgado,FALSE,6,0,0,0,0,173,11.33,12.415,223,11.8725
JUAZEIRINHO,201097,2013,CARLEUSA CASTRO MARQUES DE OLIVEIRA RAULINO,Nao julgado,FALSE,13,15,0,20,35,32,11.33,12.415,223,11.8725
JURIPIRANGA,201099,2009,ANTONIO MAROJA GUEDES FILHO,Julgado,TRUE,16,1,0,8,9,134,8.051,8.925,70.9,8.488
JURIPIRANGA,201099,2013,PAULO DALIA TEIXEIRA,Nao julgado,TRUE,84,22,0,30,52,53,8.051,8.925,70.9,8.488
JURU,201100,2013,LUIZ GALVAO DA SILVA,Julgado,FALSE,13,16,0,17,33,17,6.618,7.489,394,7.0535
JURU,201100,2009,JOSE ORLANDO TEOTONIO,Julgado,FALSE,2,0,0,0,0,137,6.618,7.489,394,7.0535
LAGOA,201101,2009,MAGNO DEMYS DE OLIVEIRA BORGES,Julgado,FALSE,3,8,0,19,27,72,3.845,4.339,460,4.092
LAGOA,201101,2013,MAGNO DEMYS DE OLIVEIRA BORGES,Julgado,FALSE,14,13,0,16,29,13,3.845,4.339,460,4.092
LAGOA DE DENTRO,201102,2013,FABIANO PEDRO DA SILVA,Nao julgado,TRUE,47,46,1,60,107,29,5.112,5.952,108,5.532
LAGOA DE DENTRO,201102,2009,SUELI MADRUGA FREIRE,Julgado,FALSE,8,5,0,13,18,101,5.112,5.952,108,5.532
LAGOA SECA,201103,2009,EDVARDO HERCULANO DE LIMA,Julgado,FALSE,5,23,0,33,56,240,17.95,19.696,142,18.823
LAGOA SECA,201103,2013,JOSE TADEU SALES DE LUNA,Nao julgado,FALSE,26,11,0,12,23,43,17.95,19.696,142,18.823
LASTRO,201104,2013,WILMESON EMMANUEL MENDES SARMENTO,Julgado,TRUE,17,7,0,8,15,4,2.741,3.115,475,2.928
LASTRO,201104,2009,JOSE VIVALDO DINIZ,Julgado,FALSE,13,20,0,48,68,47,2.741,3.115,475,2.928
LIVRAMENTO,201105,2009,JARBAS CORREIA BEZERRA,Julgado,FALSE,2,12,0,27,39,35,5.329,5.462,290,5.3955
LIVRAMENTO,201105,2013,CARMELITA ESTEVAO VENTURA SOUSA,Julgado,FALSE,22,30,0,39,69,9,5.329,5.462,290,5.3955
MALTA,201109,2013,MANOEL BENEDITO DE LUCENA FILHO,Julgado,TRUE,30,43,0,44,87,5,4.032,4.638,347,4.335
MASSARANDUBA,201115,2013,JOANA DARC QUEIROGA MENDONCA COUTINHO,Julgado,FALSE,31,9,0,10,19,34,8.458,10.58,119,9.519
MATINHAS,201117,2013,MARIA DE FATIMA SILVA,Julgado,TRUE,3,5,0,7,12,25,3.354,3.791,156,3.5725
MOGEIRO,201120,2013,ANTONIO JOSE FERREIRA,Julgado,FALSE,2,107,3,109,219,32,10.217,11.169,109,10.693
NAZAREZINHO,201126,2009,FRANCISCO ASSIS BRAGA JUNIOR,Julgado,FALSE,22,21,0,27,48,212,5.311,6.067,467,5.689
NAZAREZINHO,201126,2013,SALVAN MENDES PEDROZA,Julgado,TRUE,54,31,0,53,84,0,5.311,6.067,467,5.689
NOVA FLORESTA,201127,2009,JOAO  ELIAS DA SILVEIRA NETO AZEVEDO,Julgado,FALSE,11,179,0,232,411,468,7.096,7.725,233,7.4105
NOVA FLORESTA,201127,2013,JOAO ELIAS DA SILVEIRA NETO AZEVEDO,Nao julgado,FALSE,28,52,0,67,119,125,7.096,7.725,233,7.4105
NOVA OLINDA,201128,2009,MARIA GALDINO IRMA,Julgado,FALSE,5,2,0,2,4,78,4.785,5.038,435,4.9115
NOVA OLINDA,201128,2009,MARIA DO CARMO SILVA,Julgado,FALSE,5,2,0,2,4,78,4.785,5.038,435,4.9115
NOVA PALMEIRA,201129,2009,JOSE PETRONILO DE ARAUJO,Julgado,FALSE,5,0,0,0,0,138,3.036,3.215,251,3.1255
NOVA PALMEIRA,201129,2013,JOSE FELIX DE LIMA FILHO,Nao julgado,TRUE,10,1,0,3,4,20,3.036,3.215,251,3.1255
OURO VELHO,201132,2009,INACIO AMARO DOS SANTOS FILHO,Julgado,FALSE,40,0,0,0,0,29,2.347,2.655,322,2.501
OURO VELHO,201132,2013,NATALIA CARNEIRO NUNES DE LIRA,Julgado,TRUE,9,16,0,40,56,25,2.347,2.655,322,2.501
PAULISTA,201136,2009,SEVERINO PEREIRA DANTAS,Julgado,FALSE,5,18,0,19,37,92,9.297,9.476,396,9.3865
PAULISTA,201136,2013,SEVERINO PEREIRA DANTAS,Julgado,FALSE,30,64,0,69,133,45,9.297,9.476,396,9.3865
PEDRA LAVRADA,201138,2009,JOSE ANTONIO VASCONCELOS DA COSTA,Julgado,TRUE,1,0,0,0,0,143,5.294,5.883,239,5.5885
PEDRA LAVRADA,201138,2013,ROBERTO JOSE VASCONCELOS CORDEIRO,Julgado,FALSE,56,59,0,75,134,35,5.294,5.883,239,5.5885
PEDRAS DE FOGO,201139,2009,MARIA CLARICE RIBEIRO BORBA,Julgado,FALSE,92,26,0,105,131,283,21.493,19.178,55.7,20.3355
PEDRAS DE FOGO,201139,2013,DERIVALDO ROMAO DOS SANTOS,Nao julgado,TRUE,38,35,2,55,92,41,21.493,19.178,55.7,20.3355
PILAR,201143,2009,VIRGINIA MARIA PEIXOTO VELLOSO BORGES,Julgado,FALSE,9,0,0,0,0,139,8.568,9.177,64.7,8.8725
PIRPIRITUBA,201146,2009,RINALDO DE LUCENA GUEDES,Julgado,FALSE,0,8,0,9,17,212,7.306,7.78,118,7.543
PITIMBU,201147,2009,JOSE ROMULO CARNEIRO DE ALBUQUERQUE,Julgado,FALSE,2,0,0,0,0,56,9.434,10.307,58.5,9.8705
PITIMBU,201147,2013,LEONARDO JOSE BARBALHO CARNEIRO,Julgado,FALSE,2,7,0,7,14,12,9.434,10.307,58.5,9.8705
POCINHOS,201148,2009,ARTHUR BOMFIM GALDINO DE ARAUJO,Julgado,FALSE,2,0,0,0,0,191,12.328,13.177,170,12.7525
POCINHOS,201148,2013,CLAUDIO CHAVES COSTA,Nao julgado,TRUE,23,15,0,15,30,2,12.328,13.177,170,12.7525
POMBAL,201151,2009,YASNAYA POLLYANNA DANTAS WERTON,Julgado,FALSE,132,47,0,205,252,146,23.417,24.709,387,24.063
POMBAL,201151,2013,YASNAIA POLLYANNA WERTON DUTRA,Nao julgado,FALSE,170,105,0,145,250,1,23.417,24.709,387,24.063
PRINCESA ISABEL,201153,2009,THIAGO PEREIRA DE SOUSA SOARES,Julgado,FALSE,3,0,0,0,0,94,14.213,15.145,426,14.679
PRINCESA ISABEL,201153,2013,DOMINGOS SAVIO MAXIMIANO ROBERTO,Julgado,FALSE,27,15,0,16,31,24,14.213,15.145,426,14.679
QUEIMADAS,201155,2013,JACO MOREIRA MACIEL,Nao julgado,FALSE,15,47,3,56,106,128,29.23,32.222,146,30.726
QUEIMADAS,201155,2009,JOSE CARLOS DE SOUSA REGO,Julgado,FALSE,85,59,0,193,252,206,29.23,32.222,146,30.726
RIACHO DOS CAVALOS,201162,2009,SEBASTIAO PEREIRA PRIMO,Julgado,FALSE,65,15,0,50,65,131,5.857,6.871,442,6.364
RIACHO DOS CAVALOS,201162,2013,JOAQUIM HUGO VIEIRA CARNEIRO,Julgado,TRUE,32,41,2,53,96,8,5.857,6.871,442,6.364
SANTA CRUZ,201167,2009,RAIMUNDO ANTUNES BATISTA,Julgado,FALSE,14,2,0,2,4,51,4.7,5.268,137,4.984
SANTA RITA,201171,2013,REGINALDO PEREIRA DA COSTA,Julgado,FALSE,144,34,0,120,154,26,82.472,89.278,21.1,85.875
SANTA RITA,201171,2009,MARCUS ODILON RIBEIRO COUTINHO,Julgado,FALSE,2,26,0,89,115,94,82.472,89.278,21.1,85.875
SANTANA DE MANGUEIRA,201173,2013,TANIA MANGUEIRA NITAO INACIO,Julgado,FALSE,6,72,0,75,147,21,4.044,4.644,474,4.344
SANTANA DE MANGUEIRA,201173,2009,TANIA MANGUEIRA NITAO INACIO,Julgado,FALSE,11,6,0,11,17,109,4.044,4.644,474,4.344
SANTANA DOS GARROTES,201174,2009,JOSE ALENCAR LIMA,Julgado,FALSE,2,2,0,4,6,139,6.092,5.392,421,5.742
SANTANA DOS GARROTES,201174,2013,ELIO RIBEIRO DE MORAIS,Julgado,FALSE,45,14,0,16,30,8,6.092,5.392,421,5.742
SERRA BRANCA,201201,2009,EDUARDO JOSE TORREAO MOTA,Julgado,FALSE,0,0,0,0,0,5,9.381,9.955,243,9.668
SERRA DA RAIZ,201202,2009,LUIZ GONZAGA BEZERRA DUARTE,Julgado,FALSE,5,0,0,0,0,151,2.212,2.55,117,2.381
SERRA DA RAIZ,201202,2013,ADAILMA FERNANDES DA SILVA,Nao julgado,FALSE,8,17,0,33,50,26,2.212,2.55,117,2.381
SERRA GRANDE,201203,2009,JOAO BOSCO CAVALCANTE,Julgado,FALSE,3,0,0,0,0,8,2.333,2.651,463,2.492
SERRA GRANDE,201203,2013,JAIRO HALLEY DE MOURA CRUZ,Julgado,TRUE,19,41,0,65,106,26,2.333,2.651,463,2.492
SERRA REDONDA,201204,2009,MANOEL MARCELO DE ANDRADE,Julgado,FALSE,0,1,0,7,8,65,6.059,6.46,111,6.2595
SOLEDADE,201209,2009,JOSE IVANILDO BARROS GOUVEIA,Julgado,FALSE,1,2,0,3,5,158,9.914,10.702,198,10.308
SOLEDADE,201209,2013,FLAVIO AURELIANO DA SILVA NETO,Nao julgado,TRUE,17,27,0,33,60,12,9.914,10.702,198,10.308
SOLEDADE,201209,2013,JOSE BENTO LEITE DO NASCIMENTO,Nao julgado,FALSE,17,27,0,33,60,12,9.914,10.702,198,10.308
TAVARES,201214,2009,JOSE SEVERIANO DE PAULO BEZERRA DA SILVA,Julgado,FALSE,22,9,0,9,18,159,10.276,10.873,409,10.5745
TAVARES,201214,2013,AILTON NIXON SUASSUNA PORTO,Nao julgado,TRUE,6,31,4,67,102,14,10.276,10.873,409,10.5745
TEIXEIRA,201215,2009,WENCESLAU SOUZA MARQUES,Julgado,TRUE,78,31,0,34,65,217,9.719,10.357,316,10.038
TEIXEIRA,201215,2013,EDMILSON ALVES DOS REIS,Nao julgado,TRUE,64,48,0,70,118,29,9.719,10.357,316,10.038
TRIUNFO,201217,2009,ITAMAR MANGUEIRA DE SOUSA,Julgado,FALSE,2,0,0,0,0,251,7.332,7.319,509,7.3255
TRIUNFO,201217,2013,DAMISIO MANGUEIRA DA SILVA,Nao julgado,FALSE,23,19,0,19,38,6,7.332,7.319,509,7.3255
UMBUZEIRO,201219,2009,ANTONIO FERNANDES DE LIMA,Julgado,FALSE,0,0,0,0,0,0,5.804,6.472,205,6.138
UMBUZEIRO,201219,2013,THIAGO PESSOA CAMELO,Julgado,FALSE,58,1,0,1,2,10,5.804,6.472,205,6.138
AGUIAR,201002,2013,MANOEL BATISTA GUEDES FILHO,Nao julgado,FALSE,5,68,0,73,141,3,4.208,4.64,435,4.424
AGUIAR,201002,2009,MANOEL BATISTA GUEDES FILHO,Nao julgado,FALSE,1,2,0,6,8,70,4.208,4.64,435,4.424
ALAGOA GRANDE,201003,2013,HILDON REGIS NAVARRO FILHO,Nao julgado,FALSE,19,16,0,23,39,14,22.07,23.334,118,22.702
ALAGOA GRANDE,201003,2009,JOAO BOSCO CARNEIRO JUNIOR,Nao julgado,FALSE,11,0,0,0,0,49,22.07,23.334,118,22.702
ALCANTIL,201006,2009,JOSE MILTON RODRIGUES,Nao julgado,FALSE,6,3,0,13,16,68,4.059,4.367,202,4.213
ALCANTIL,201006,2013,JOSE ADEMAR DE FARIAS,Nao julgado,TRUE,12,20,0,20,40,20,4.059,4.367,202,4.213
AMPARO,201009,2013,JOSE ARNALDO DA SILVA,Nao julgado,TRUE,1,5,1,16,22,6,1.904,2.153,307,2.0285
AMPARO,201009,2009,JOAO LUIS DE LACERDA JUNIOR,Nao julgado,FALSE,1,0,0,0,0,29,1.904,2.153,307,2.0285
APARECIDA,201010,2009,DEUSIMAR PIRES FERREIRA,Nao julgado,FALSE,27,41,0,52,93,51,5.846,6.455,426,6.1505
APARECIDA,201010,2013,JULIO CESAR QUEIROGA DE ARAUJO,Nao julgado,FALSE,40,62,0,73,135,0,5.846,6.455,426,6.1505
ARARA,201012,2013,ERALDO FERNANDES DE AZEVEDO,Nao julgado,FALSE,49,26,1,35,62,11,8.666,9.322,163,8.994
ARARA,201012,2009,JOSE ERNESTO DOS SANTOS SOBRINHO,Nao julgado,FALSE,8,26,0,27,53,188,8.666,9.322,163,8.994
AREIA,201014,2013,PAULO GOMES PEREIRA,Nao julgado,TRUE,25,4,0,7,11,37,18.17,19.058,136,18.614
AREIA,201014,2009,ELSON DA CUNHA LIMA FILHO,Nao julgado,FALSE,9,38,0,91,129,251,18.17,19.058,136,18.614
AREIAL,201016,2009,ADELSON GONCALVES BENJAMIN,Nao julgado,FALSE,0,6,0,7,13,193,5.147,5.571,166,5.359
AREIAL,201016,2013,CICERO PEDRO MEDA DE ALMEIDA,Nao julgado,TRUE,19,15,3,35,53,33,5.147,5.571,166,5.359
BANANEIRAS,201020,2009,MARTA ELEONORA ARAGAO RAMALHO,Nao julgado,FALSE,59,21,0,47,68,517,16.565,17.489,141,17.027
BANANEIRAS,201020,2013,DOUGLAS LUCENA MOURA DE MEDEIROS,Nao julgado,TRUE,155,39,1,46,86,31,16.565,17.489,141,17.027
BARRA DE SANTANA,201023,2013,JOVENTINO ERNESTO DO REGO NETO,Nao julgado,FALSE,21,3,1,10,14,9,6.832,7.326,170,7.079
BARRA DE SANTANA,201023,2009,MANOEL ALMEIDA DE ANDRADE,Nao julgado,TRUE,1,6,0,14,20,9,6.832,7.326,170,7.079
BERNARDINO BATISTA,201028,2009,JOSE EDOMARQUES GOMES,Nao julgado,FALSE,15,44,0,62,106,187,2.028,2.528,504,2.278
BERNARDINO BATISTA,201028,2013,GERVAZIO GOMES DOS SANTOS,Nao julgado,TRUE,81,36,0,48,84,1,2.028,2.528,504,2.278
BOA VENTURA,201029,2013,MARIA LEONICE LOPES VITAL,Nao julgado,TRUE,20,22,0,22,44,0,5.055,5.239,446,5.147
BOA VENTURA,201029,2009,JOSE PINTO NETO,Nao julgado,FALSE,0,0,0,0,0,137,5.055,5.239,446,5.147
BOM SUCESSO,201032,2013,IVALDO WASHINGTON DE LIMA,Nao julgado,FALSE,5,1,0,1,2,2,3.861,4.239,441,4.05
BOM SUCESSO,201032,2009,GILSON CAVALCANTE DE OLIVEIRA,Nao julgado,FALSE,1,0,0,0,0,4,3.861,4.239,441,4.05
BORBOREMA,201035,2013,MARIA PAULA GOMES PEREIRA,Nao julgado,TRUE,0,22,0,30,52,32,4.433,4.487,141,4.46
BORBOREMA,201035,2009,JOSE RENATO EDUARDO DOS SANTOS,Nao julgado,FALSE,4,10,0,10,20,123,4.433,4.487,141,4.46
BREJO DO CRUZ,201036,2013,ANA MARIA DUTRA DA SILVA,Nao julgado,FALSE,27,40,0,74,114,6,8.384,9.44,384,8.912
BREJO DO CRUZ,201036,2009,FRANCISCO DUTRA SOBRINHO,Nao julgado,TRUE,3,44,0,68,112,71,8.384,9.44,384,8.912
BREJO DOS SANTOS,201037,2009,LAURI FERREIRA DA COSTA,Nao julgado,TRUE,1,13,0,42,55,24,4.609,5.282,423,4.9455
BREJO DOS SANTOS,201037,2013,LUIZ VIEIRA DE ALMEIDA,Nao julgado,TRUE,10,39,1,59,99,6,4.609,5.282,423,4.9455
CABACEIRAS,201039,2009,RICARDO JORGE DE FARIAS AIRES,Nao julgado,FALSE,0,0,0,0,0,2,3.866,4.297,198,4.0815
CABACEIRAS,201039,2013,LUIZ AIRES CAVALCANTE,Nao julgado,FALSE,12,7,0,8,15,2,3.866,4.297,198,4.0815
CACHOEIRA DOS ÍNDIOS,201041,2009,ARLINDO FRANCISCO DE SOUSA,Nao julgado,FALSE,27,0,0,0,0,151,0,0,0,0
CACHOEIRA DOS ÍNDIOS,201041,2013,FRANCISCO DANTAS RICARTE,Nao julgado,TRUE,5,15,0,15,30,54,0,0,0,0
CAJAZEIRAS,201046,2009,LEONID SOUZA DE ABREU,Nao julgado,FALSE,468,192,0,240,432,610,41.643,43.688,485,42.6655
CAJAZEIRAS,201046,2013,FRANCISCA DENISE ALBUQUERQUE DE OLIVEIRA,Nao julgado,TRUE,116,67,0,100,167,25,41.643,43.688,485,42.6655
CAMPINA GRANDE,201050,2009,VENEZIANO VITAL DO REGO SEGUNDO NETO,Nao julgado,TRUE,43,55,0,115,170,166,266.731,282.518,133,274.6245
CAMPINA GRANDE,201050,2013,ROMERO RODRIGUES VEIGA,Nao julgado,TRUE,467,255,8,325,588,76,266.731,282.518,133,274.6245
CAPIM,201052,2013,EDVALDO CARLOS FREIRE JUNIOR,Nao julgado,TRUE,1,10,0,22,32,28,3.739,4.627,62,4.183
CAPIM,201052,2009,EUCLIDES SERGIO COSTA DE LIMA,Nao julgado,FALSE,0,0,0,0,0,14,3.739,4.627,62,4.183
CONDE,201061,2009,ALUISIO VINAGRE REGIS,Nao julgado,FALSE,13,0,0,0,0,328,13.091,16.448,26.3,14.7695
CONDE,201061,2013,TATIANA LUNDGREN CORREA DE OLIVEIRA,Nao julgado,FALSE,16,6,0,18,24,37,13.091,16.448,26.3,14.7695
CONGO,201062,2009,ROMUALDO ANTONIO QUIRINO DE SOUSA,Nao julgado,FALSE,2,0,0,0,0,45,4.036,4.524,307,4.28
CONGO,201062,2013,ROMUALDO ANTONIO QUIRINO DE SOUSA,Nao julgado,FALSE,29,43,1,47,91,29,4.036,4.524,307,4.28
COXIXOLA,201064,2013,GIVALDO LIMEIRA DE FARIAS,Nao julgado,TRUE,9,21,0,32,53,36,1.462,1.67,261,1.566
COXIXOLA,201064,2009,NELSON HONORATO DA SILVA,Nao julgado,FALSE,1,3,0,11,14,145,1.462,1.67,261,1.566
CUITEGI,201069,2009,EDNALDO PAULO LINO,Nao julgado,FALSE,50,0,0,0,0,87,5.356,5.584,111,5.47
CUITEGI,201069,2013,GUILHERME CUNHA MADRUGA JUNIOR,Nao julgado,TRUE,10,14,0,27,41,35,5.356,5.584,111,5.47
DESTERRO,201073,2009,DILSON DE ALMEIDA,Nao julgado,TRUE,28,0,0,0,0,95,6.423,6.722,293,6.5725
DESTERRO,201073,2013,ROSANGELA DE FATIMA LEITE,Nao julgado,FALSE,36,27,0,38,65,22,6.423,6.722,293,6.5725
DUAS ESTRADAS,201076,2013,EDSON GOMES DE LUNA,Nao julgado,TRUE,12,31,0,38,69,57,2.896,3.389,113,3.1425
DUAS ESTRADAS,201076,2009,ROBERTO CARLOS NUNES,Nao julgado,FALSE,0,0,0,0,0,13,2.896,3.389,113,3.1425
EMAS,201077,2013,JOSE WILLIAM SEGUNDO MADRUGA,Nao julgado,FALSE,16,15,0,16,31,4,2.527,2.853,377,2.69
EMAS,201077,2009,FERNANDA MARIA MARINHO DE MEDEIROS LOUREIRO,Nao julgado,FALSE,11,2,0,5,7,122,2.527,2.853,377,2.69
