de_Ugestora,ELEITO
BELÉM,CICERO MENDONÇA DA COSTA
BELÉM,RENATA CHRISTINNE FREITAS DE SOUZA LIMA BARBOSA
BELÉM,TARCISIO MARCELO BARBOSA DE LIMA
BELÉM DO BREJO DO CRUZ,EVANDRO MAIA PIMENTA
BELÉM DO BREJO DO CRUZ,JOÃO FORTE DE OLIVEIRA NETO
BERNARDINO BATISTA,GERVAZIO GOMES DOS SANTOS
BOA VENTURA,JOSÉ PINTO NETO
BOA VENTURA,MARIA LEONICE LOPES VITAL
BOA VISTA,ANDRE LUIZ GOMES DE ARAUJO
BOA VISTA,ANTONIO PEREIRA DE ALMEIDA FILHO
BOM JESUS,EDIVAN GONÇALVES DE BRITO
BOM JESUS,ROBERTO BANDEIRA DE MELO BARBOSA
BOM SUCESSO,BENEDITO TORRES FILHO
BOM SUCESSO,PEDRO CAETANO SOBRINHO
BONITO DE SANTA FÉ,FRANCISCO CARLOS DE CARVALHO
BONITO DE SANTA FÉ,JAMES ARARUNA ALVES
BOQUEIRÃO,CARLOS ARTUR SOUSA MARQUES
BOQUEIRÃO,JOAO PAULO BARBOSA LEAL SEGUNDO
BOQUEIRÃO,JESUALDO GOMES DAS CHAGAS
BORBOREMA,GILENE CÂNDIDO DA SILVA LEITE CARDOSO
BORBOREMA,JOHN RIBEIRO TARGINO
BORBOREMA,MARIA PAULA GOMES PEREIRA
BREJO DO CRUZ,FRANCISCO DUTRA SOBRINHO
BREJO DO CRUZ,IVANDI MELQUÍADES DE SOUSA FILHO
BREJO DOS SANTOS,GILVERLAN ALVES DE MELO
BREJO DOS SANTOS,ANTONIO FERREIRA DA COSTA JUNIOR
BREJO DOS SANTOS,LAURI FERREIRA DA COSTA
BREJO DOS SANTOS,LUIZ VIEIRA DE ALMEIDA
BREJO DOS SANTOS,VALDELICI VIEIRA DA SILVA
CAAPORÃ,FRANCISCO NAZARIO DE OLIVEIRA
CAAPORÃ,CRISTIANO FERREIRA MONTEIRO
CABACEIRAS,ALEXSANDRO DA SILVA
CABACEIRAS,TIAGO MARCONE CASTRO DA ROCHA
CABEDELO,ENEIDE MONTEIRO REGIS
CABEDELO,FERNANDO ANTONIO MONTEIRO DE OLIVEIRA SOBRINHO
CABEDELO,IVAN CARLOS SILVA DE MIRANDA
CABEDELO,WELLINGTON VIANA FRANÇA
CABEDELO,LUCAS SANTINO DA SILVA
CABEDELO,MARCOS ANTONIO DA SILVA
CABEDELO,PAULO NOGUEIRA BARBOSA
CACHOEIRA DOS ÍNDIOS,ALLAN SEIXAS DE SOUSA
CACHOEIRA DOS ÍNDIOS,FRANCISCO DANTAS RICARTE
CACIMBA DE AREIA,SEBASTIÃO FERREIRA DA SILVA
CACIMBA DE AREIA,ORISMAN FERREIRA DA NOBREGA
CACIMBA DE AREIA,PAULO ROGÉRIO DE LIRA CAMPOS
CACIMBA DE DENTRO,MARCOS ANTONIO FIRMINO DE OLIVEIRA
CACIMBA DE DENTRO,VALDINELE GOMES COSTA
CACIMBAS,EDILSON SILVA NASCIMENTO
CACIMBAS,GERALDO TERTO DA SILVA
CACIMBAS,NILTON DE ALMEIDA
CAIÇARA,HUGO ANTONIO LISBOA ALVES
CAIÇARA,LUCIANO FÉLIX DA COSTA
CAIÇARA,LUIZ GONZAGA DE CARVALHO
CAJAZEIRAS,LUIZ ANTONIO LUCIO RANGEL
CAJAZEIRAS,FRANCISCA DENISE ALBUQUERQUE DE OLIVEIRA
CAJAZEIRAS,JOSÉ ALDEMIR MEIRELES DE ALMEIDA
CAJAZEIRINHAS,FRANCISCO DE ASSIS RODRIGUES DE LIMA
CAJAZEIRINHAS,EMÍLIA VITÓRIA ALBUQUERQUE LUSTOZA RODRIGUES
CALDAS BRANDÃO,NEUMA RODRIGUES DE MOURA SOARES
CALDAS BRANDÃO,QUITÉRIA LUCIA TEIXEIRA CAVALCANTE
CAMALAÚ,ARISTEU CHAVES SOUSA
CAMALAÚ,ALECSANDRO BEZERRA DOS SANTOS
CAMPINA GRANDE,ADRIANO CEZAR GALDINO DE ARAÚJO
CAMPINA GRANDE,JOSÉ ARTUR MELO DE ALMEIDA
CAMPINA GRANDE,CARLOS DAVID DE CARVALHO LOBÃO
CAMPINA GRANDE,ROMERO RODRIGUES VEIGA
CAMPINA GRANDE,VENEZIANO VITAL DO REGO SEGUNDO NETO
CAMPINA GRANDE,WALTER CORREIA DE BRITO NETO
CAPIM,EDVALDO CARLOS FREIRE JUNIOR
CAPIM,EUCLIDES SÉRGIO COSTA DE LIMA
CAPIM,TIAGO ROBERTO LISBOA
CARAÚBAS,PEDRO DA SILVA NEVES
CARAÚBAS,JOSE SILVANO FERNANDES DA SILVA
CARRAPATEIRA,ANDRÉ PEDROSA ALVES
CARRAPATEIRA,JOSE ARDISON PEREIRA
CARRAPATEIRA,JOSÉ PEREIRA COELHO
CATINGUEIRA,ODIR PEREIRA BORGES FILHO
CATINGUEIRA,LARISSA EMMANUELLE DE SANTANA FELIX
CATOLÉ DO ROCHA,ANTONIO EVANGELISTA DE SOUSA FILHO
CATOLÉ DO ROCHA,LAURO SERGIO MAIA DE VASCONCELOS
CATOLÉ DO ROCHA,LEOMAR BENÍCIO MAIA
CATURITÉ,JAIR DA SILVA RAMOS
CATURITÉ,JOSÉ GERVAZIO DA CRUZ
CONCEIÇÃO,ALEXANDRE BRAGA PEGADO
CONCEIÇÃO,JOSÉ IVANILSON SOARES DE LACERDA
CONDADO,CAIO RODRIGO BEZERRA PAIXAO
CONDADO,SIMONE FERREIRA DE ARAÚJO MINERVINO
CONDE,ALUISIO VINAGRE RÉGIS
CONDE,JOSE RODRIGUES DE OLIVEIRA JUNIOR
CONDE,MARILENE LOPES CARNEIRO
CONDE,MÁRCIA DE FIGUEIREDO LUCENA LIRA
CONDE,TATIANA LUNDGREN CORRÊA DE OLIVEIRA
CONGO,JOSÉ HERIBERTO QUIRINO HENRIQUE
CONGO,JOAQUIM QUIRINO DA SILVA JUNIOR
COREMAS,ANTONIO CARLOS CAVALCANTI LOPES
COREMAS,EDILSON PEREIRA DE OLIVEIRA
COREMAS,JANDERLEY BATISTA DE SOUSA
COXIXOLA,GIVALDO LIMEIRA DE FARIAS
COXIXOLA,JOSÉ VALMI OLIVEIRA TORRES
CRUZ DO ESPÍRITO SANTO,MARCOS ANTÔNIO TRAJANO DE OLIVEIRA
CRUZ DO ESPÍRITO SANTO,MARLYSON PEDRO COSTA
CRUZ DO ESPÍRITO SANTO,PEDRO GOMES PEREIRA
CUBATI,CLAUCIVESSE DA SILVA MEDEIROS
CUBATI,EDUARDO RONIELLE GUIMARÃES MARTINS DANTAS
CUBATI,RONIE MACKARTNEY FERNANDES
CUITEGI,GERALDO ALVES SERAFIM
CUITEGI,GUILHERME CUNHA MADRUGA JUNIOR
CUITÉ,CHARLES CRISTIANO INÁCIO DA SILVA
CUITÉ,FABIANO VALÉRIO DE FARIAS FONSÊCA
CUITÉ DE MAMANGUAPE,HÉLIO SEVERINO DE SOUZA
CUITÉ DE MAMANGUAPE,DJAIR MAGNO DANTAS
CURRAL DE CIMA,ANDRE RICARDO LYRA FERNANDES
CURRAL DE CIMA,ANTONIO RIBEIRO SOBRINHO
CURRAL VELHO,JOAQUIM ALVES BARBOSA FILHO
CURRAL VELHO,TACIANO LUÍS BARBOSA DINIZ
DAMIÃO,MARIA ELEONORA SOARES DINIZ
DAMIÃO,LUCILDO FERNANDES DE OLIVEIRA
DESTERRO,DILSON DE ALMEIDA
DESTERRO,ROSÂNGELA DE FÁTIMA LEITE
DIAMANTE,CARMELITA DE LUCENA MANGUEIRA
DIAMANTE,HERMES MANGUEIRA DINIZ FILHO
DONA INÊS,JOSE CLODOALDO MAXIMINO RODRIGUES
DONA INÊS,JOÃO IDALINO DA SILVA
DUAS ESTRADAS,EDSON GOMES DE LUNA
DUAS ESTRADAS,JOYCE RENALLY FELIX NUNES
EMAS,ALEXANDRE HENRIQUE REMIGIO LOUREIRO
EMAS,JOSÉ WILLIAM SEGUNDO MADRUGA
ESPERANÇA,ANDERSON MONTEIRO COSTA
ESPERANÇA,CRISTIANA SANTOS DE ARAÚJO ALMEIDA
ESPERANÇA,NOBSON PEDRO DE ALMEIDA
ESPERANÇA,GIVONALDO SANTIAGO
FAGUNDES,ARTUR RISUCCI DANTAS
FAGUNDES,JOSÉ PEDRO DA SILVA
FREI MARTINHO,AGUIFAILDO LIRA DANTAS
FREI MARTINHO,ROMMEL MARQUES MOURA
GADO BRAVO,PAULO ALVES MONTEIRO
GADO BRAVO,JOSE LUCENA DE MORAIS NETO
GUARABIRA,BELARMINO MARIANO NETO
GUARABIRA,MARIA DE FATIMA DE AQUINO PAULINO
GUARABIRA,JOSE AGOSTINHO SOUZA DE ALMEIDA
GUARABIRA,ZENOBIO TOSCANO DE OLIVEIRA
GURINHÉM,CLAUDIO FREIRE MADRUGA
GURINHÉM,TARCISIO SAULO DE PAIVA
GURJÃO,JOSE EDVAN DOS SANTOS
GURJÃO,RONALDO RAMOS DE QUEIROZ
IBIARA,KENIA EDJANE BESERRA DE OLIVEIRA
IBIARA,FRANCISCO NENIVALDO DE SOUSA
IGARACY,DEUSALEIDE JERÔNIMO LEITE
IGARACY,JOSE CARNEIRO ALMEIDA DA SILVA
IMACULADA,ALEXANDRE ALVES NOBREGA
IMACULADA,ALDO LUSTOSA DA SILVA
INGÁ,EDILSON RODRIGUES DA SILVA
INGÁ,MANOEL BATISTA CHAVES FILHO
ITABAIANA,ANTONIO CARLOS RODRIGUES DE MELO JUNIOR
ITABAIANA,LÚCIO FLÁVIO ARAÚJO COSTA
ITABAIANA,JOSE FABIO RODRIGUES DE ANDRADE
ITABAIANA,MARCOS ANTONIO BEZERRA DE LIMA
ITAPORANGA,DIVALDO DANTAS
ITAPORANGA,DJACI FARIAS BRASILEIRO JÚNIOR
ITAPORANGA,JOSÉ FRANCISCO DE SOUSA NETO
ITAPOROROCA,ELISSANDRA MARIA CONCEIÇÃO DE BRITO
ITAPOROROCA,ERILSON CLAUDIO RODRIGUES
ITATUBA,ARON RENE MARTINS DE ANDRADE
ITATUBA,JOSE RONALDO MARTINS DE ANDRADE FILHO
JACARAÚ,ELIAS COSTA PAULINO LUCAS
JACARAÚ,JOÃO RIBEIRO FILHO
JERICÓ,CLAUDEEIDE DE OLIVEIRA MELO
JERICÓ,JOSE WELLIGTON DE OLIVEIRA
JOCA CLAUDINO,JORDHANNA LOPES DOS SANTOS
JOCA CLAUDINO,RINALDO CIPRIANO DE SOUSA
JOÃO PESSOA,MARIA APARECIDA RAMOS DE MENESES
JOÃO PESSOA,LUCIANO CARTAXO PIRES DE SÁ
JOÃO PESSOA,CHARLITON JOSE DOS SANTOS MACHADO
JOÃO PESSOA,VICTOR HUGO PEREIRA DO NASCIMENTO
JUAREZ TÁVORA,MARIA ANA FARIAS DOS SANTOS
JUAREZ TÁVORA,WILSON EVANGELISTA FEITOSA
JUAZEIRINHO,BEVILACQUA MATIAS MARACAJÁ
JUAZEIRINHO,JONILTON FERNANDES CORDEIRO
JUNCO DO SERIDÓ,ALEX ALEXANDRE COSTA CABRAL
JUNCO DO SERIDÓ,KLEBER FERNANDES DE MEDEIROS
JURIPIRANGA,PAULO DALIA TEIXEIRA
JURIPIRANGA,ANTONIO MAROJA GUEDES FILHO
JURU,GILSON BATISTA DOS SANTOS
JURU,LUIZ GALVÃO DA SILVA
JURU,SILVINO ALVES DE LIMA
LAGOA,JARBAS JOSE DOS SANTOS
LAGOA,FRANCISCO BORGES DE SOUSA SEGUNDO
LAGOA,ANTONIO SEVERINO FILHO
LAGOA DE DENTRO,HUMBERTO FLORÊNCIO DA SILVA
LAGOA DE DENTRO,FABIANO PEDRO DA SILVA
LAGOA SECA,MAYKON DIEGO RIBEIRO DE MELO
LAGOA SECA,FABIO RAMALHO DA SILVA
LASTRO,ATHAIDE GONÇALVES DINIZ
LASTRO,WILMESON EMMANUEL MENDES SARMENTO
LIVRAMENTO,JOSE DE ANCHIETA ANASTACIO RODRIGUES DE LIMA
LIVRAMENTO,CARMELITA ESTEVÃO VENTURA SOUSA
LOGRADOURO,CÉLIA MARIA DE QUEIROZ CARVALHO
LOGRADOURO,JOSÉ HENRIQUE DO NASCIMENTO
LUCENA,ANTONIO MENDONÇA MONTEIRO JUNIOR
LUCENA,LEOMAX DA COSTA BANDEIRA
LUCENA,MARCELO SALES DE MENDONÇA
MALTA,EUSEBIO GOMES WANDERLEY
MALTA,MANOEL BENEDITO DE LUCENA FILHO
MAMANGUAPE,MARIA EDILEUSA DA CUNHA
MAMANGUAPE,MARIA EUNICE DO NASCIMENTO PESSOA
MAMANGUAPE,FABIO FERNANDES FONSECA
MANAÍRA,MANOEL BEZERRA RABELO
MANAÍRA,FRANCISCO SUEL ALVES BEZERRA
MARCAÇÃO,ELISELMA SILVA DE OLIVEIRA
MARCAÇÃO,PAULO SÉRGIO DA SILVA ARAUJO
MARI,ADINALDO DE OLIVEIRA PONTES
MARI,ANTONIO GOMES DA SILVA
MARI,MARCOS AURELIO MARTINS DE PAIVA
MARI,SEVERINO FERREIRA DOS SANTOS
MARIZÓPOLIS,MIGUEL NETO LINS DE SOUSA
MARIZÓPOLIS,JOSÉ LINS BRAGA
MASSARANDUBA,JOANA DARC QUEIROGA MENDONÇA COUTINHO
MASSARANDUBA,PAULO FRACINETTE DE OLIVEIRA
MASSARANDUBA,SIMONE DA SILVA ZÉCA
MATARACA,EGBERTO COUTINHO MADRUGA
MATARACA,ANTONIO IZAIAS BESSA FILHO
MATARACA,OLIMPIO DE ALENCAR ARAUJO BEZERRA
MATARACA,VALTER DA SILVA
MATINHAS,AUTO TEOTONIO DE QUEIROZ NETO
MATINHAS,MARIA DE FATIMA SILVA
MATINHAS,JOSÉ COSTA ARAGÃO JÚNIOR
MATO GROSSO,RAIMUNDO JOSE DE LIMA
MATO GROSSO,VALDEGIZIO SILVINO DA SILVA
MATURÉIA,FRANCISCO JOSÉ DO NASCIMENTO
MATURÉIA,JOSÉ PEREIRA FREITAS DA SILVA
MOGEIRO,JOSÉ ALBERTO FERREIRA
MOGEIRO,MARGARIDA MARIA SILVEIRA GOMES
MOGEIRO,GENIVAL ALVES DE LUNA
MOGEIRO,JOSÉ COSME DA SILVA NETO
MONTADAS,JAIRO HERCULANO DE MELO
MONTADAS,JONAS DE SOUZA
MONTE HOREBE,CLAUDIA APARECIDA DIAS
MONTE HOREBE,MARCOS ERON NOGUEIRA
MONTEIRO,ALDO LÍDIO FERREIRA
MONTEIRO,JURACI CONRADO DE OLIVEIRA
MONTEIRO,ANNA LORENA DE FARIAS LEITE NÓBREGA
MULUNGU,JOANA D'ARC RODRIGUES BANDEIRA FERRAZ
MULUNGU,MELQUIADES JOÃO DO NASCIMENTO SILVA
MÃE D'ÁGUA,FRANCISCO CIRINO DA SILVA
MÃE D'ÁGUA,JOÃO BEZERRA FILHO
NATUBA,JANETE SANTOS SOUZA DA SILVA
NATUBA,NOEL GOMES DA CUNHA
NAZAREZINHO,SALVAN MENDES PEDROZA
NAZAREZINHO,MARCELO BATISTA VALE
NOVA FLORESTA,JARSON SANTOS DA SILVA
NOVA FLORESTA,ROSSELIO DA SILVA SANTOS
NOVA OLINDA,DIOGO RICHELLI ROSAS
NOVA OLINDA,IDACIO ALVES SOUTO
NOVA OLINDA,SEBASTIAO CARLOS DE LIMA
NOVA PALMEIRA,AILTON GOMES MEDEIROS
NOVA PALMEIRA,JOSE FELIX DE LIMA FILHO
OLHO D'ÁGUA,JULIO MINERVINO FILHO NETO
OLHO D'ÁGUA,GENOILTON JOAO DE CARVALHO ALMEIDA
OLIVEDOS,JOSE DE DEUS ANIBAL LEONARDO
OLIVEDOS,GRIGORIO DE ALMEIDA SOUTO
OURO VELHO,MARTA SEVERINA MENEZES ALEXANDRE
OURO VELHO,NATALIA CARNEIRO NUNES DE LIRA
PARARI,DIÓGENES CORREIA SILVA
PARARI,JOSÉ JOSEMAR FERREIRA DE SOUZA
PASSAGEM,ADELGISTRO BALDUINO SOBRINHO
PASSAGEM,MAGNO SILVA MARTINS
PATOS,DINALDO MEDEIROS WANDERLEY FILHO
PATOS,LENILDO DIAS DE MORAIS
PATOS,NABOR WANDERLEY DA NÓBREGA FILHO
PATOS,JACOB SILVA SOUTO
PATOS,SILVANO DE MORAIS ARAUJO
PAULISTA,ABINETE VIEIRA DE ALMEIDA
PAULISTA,VALMAR ARRUDA DE OLIVEIRA
PEDRA BRANCA,ALLAN FELIPHE BASTOS DE SOUSA
PEDRA BRANCA,JOSÉ ANCHIETA NOIA
PEDRA LAVRADA,JARBAS DE MELO AZEVEDO
PEDRA LAVRADA,RIGOBERTO RODRIGUES DE LIMA
PEDRA LAVRADA,JOSE ANTONIO VASCONCELOS DA COSTA
PEDRAS DE FOGO,ADELSON SANTANA DE OLIVEIRA
PEDRAS DE FOGO,AURILECIO MOREIRA DA CUNHA
PEDRAS DE FOGO,DERIVALDO ROMAO DOS SANTOS
PEDRO RÉGIS,MICHELE RIBEIRO DE OLIVEIRA
PEDRO RÉGIS,JOSE AURELIO FERREIRA
PIANCÓ,DANIEL GALDINO DE ARAUJO PEREIRA
PIANCÓ,FRANCISCO SALES DE LIMA LACERDA
PICUÍ,OLIVANIO DANTAS REMIGIO
PICUÍ,RENAN GERMANO COSTA
PILAR,JOSE BENICIO DE ARAUJO NETO
PILAR,EDUARDO JOSE RODRIGUES DA SILVA
PILAR,VALDEMAR MATIAS DE SOUZA FILHO
PILÕES,FELIX ANTONIO MENEZES DA CUNHA
PILÕES,IREMAR FLOR DE SOUZA
PILÕEZINHOS,IRAPONIL SIQUEIRA SOUSA
PILÕEZINHOS,ROSINALDO LUCENA MENDES
PILÕEZINHOS,MONICA CRISTINA SANTOS DA SILVA
PILÕEZINHOS,MARCELO MATIAS CAMELO
PIRPIRITUBA,DENILSON DE FREITAS SILVA
PIRPIRITUBA,JOSÉ HUGO SIMÕES
PITIMBU,LEONARDO JOSÉ BARBALHO CARNEIRO
PITIMBU,JOSE PEREIRA DE LIMA FILHO
POCINHOS,CLAUDIO CHAVES COSTA
POCINHOS,ELIANE MOURA DOS SANTOS GALDINO
POMBAL,ABMAEL DE SOUSA LACERDA
POMBAL,PAULO NEIDE MELO FRAGOSO
POÇO DANTAS,MARIA EVA DE SOUSA LIRA
POÇO DANTAS,JOSÉ GURGEL SOBRINHO
POÇO DE JOSÉ DE MOURA,AURILEIDE EGÍDIO DE MOURA
POÇO DE JOSÉ DE MOURA,LUÍS ANACLETO CABRAL
PRATA,ANTONIO DA COSTA NOBREGA JUNIOR
PRATA,FELISARDO MOURA NUNES
PRATA,PAULO DE FARIAS LEITE
PRINCESA ISABEL,JOSE SIDNEY OLIVEIRA FILHO
PRINCESA ISABEL,RICARDO PEREIRA DO NASCIMENTO
PRINCESA ISABEL,JOSE RIVALDO RODRIGUES
PUXINANÃ,MARCOS ANTONIO ARAUJO DIAS
PUXINANÃ,LÚCIA DE FÁTIMA AIRES MIRANDA
PUXINANÃ,GISELE GUIMARAES DA COSTA FREIRE
PUXINANÃ,DAGOBERTO GENESIO DA SILVA
PUXINANÃ,ABELARDO ANTONIO COUTINHO
QUEIMADAS,MÁRIO CARDOSO DE SOUZA
QUEIMADAS,JACÓ MOREIRA MACIEL
QUEIMADAS,JOSÉ CARLOS DE SOUSA RÊGO
QUIXABA,CLÁUDIA MACÁRIO LOPES
QUIXABA,JOSÉ CANDEIA LOPES
REMÍGIO,DAMIÃO GONÇALVES DE LIMA
REMÍGIO,MELCHIOR NAELSON BATISTA DA SILVA
RIACHO DE SANTO ANTÔNIO,JOSEVALDO DA SILVA COSTA
RIACHO DE SANTO ANTÔNIO,ANTONIO GONÇALVES RAMOS
RIACHO DOS CAVALOS,JOAQUIM HUGO VIEIRA CARNEIRO
RIACHO DOS CAVALOS,SEBASTIÃO PEREIRA PRIMO
RIACHÃO,ANTONIO DA CUNHA TORRES
RIACHÃO,FABIO MOURA DE MOURA
RIACHÃO DO BACAMARTE,ERIVALDO GUEDES DO AMARAL
RIACHÃO DO BACAMARTE,JOSÉ DE ARIMATEA DA SILVA
RIACHÃO DO POÇO,JOSÉ CONSTÂNCIO SOBRINHO
RIACHÃO DO POÇO,MARIA AUXILIADORA DIAS DO REGO
RIACHÃO DO POÇO,SEVERINO SABINO DE ARAUJO
RIO TINTO,MARCOS AURÉLIO DE OLIVEIRA SILVA
RIO TINTO,JOSÉ FERNANDES GORGONHO NETO
RIO TINTO,JOSE DE ALMEIDA BRAGA
SALGADINHO,MARCOS ANTÔNIO ALVES
SALGADINHO,DAMIÃO BALDUINO DA NÓBREGA
SALGADO DE SÃO FÉLIX,JONI MARCOS SOUZA DE OLIVEIRA
SALGADO DE SÃO FÉLIX,ADJAILSON PEDRO SILVA DE ANDRADE
SANTA CECÍLIA,JOSE VALTER DE LIRA
SANTA CECÍLIA,JOSE MARCILIO FARIAS DA SILVA
SANTA CECÍLIA,ROBERTO FLORENTINO PESSOA
SANTA CRUZ,PAULO CESAR FERREIRA BATISTA
SANTA CRUZ,JOAO INACIO DA SILVEIRA
SANTA HELENA,MARIA DO SOCORRO FELIX ROLIM
SANTA HELENA,EMMANUEL FELIPE LUCENA MESSIAS
SANTA INÊS,JOÃO NILDO LEITE
SANTA INÊS,JUSSARA DE LOURDES RODRIGUES RAMALHO VIEIRA
SANTA LUZIA,JOSE ALEXANDRE DE ARAUJO
SANTA LUZIA,JOSELITO EULÂMPIO DA NÓBREGA
SANTA LUZIA,JOSE JACKSON DOS SANTOS
SANTA RITA,JOSÉ PAULO VITURINO DOS SANTOS
SANTA RITA,FLAVIANO QUINTO RIBEIRO COUTINHO
SANTA RITA,VALDIR DE LIMA SILVA
SANTA RITA,LUIZ ANTONIO NOBERTO DE SOUZA
SANTA RITA,EMERSON FERNANDES ALVINO PANTA
SANTA TERESINHA,TEREZINHA LUCIA ALVES DE OLIVEIRA
SANTA TERESINHA,JOSÉ DE ARIMATÉIA NUNES CAMBOIM
SANTANA DE MANGUEIRA,ADENILDA MANGUEIRA DOS SANTOS
SANTANA DE MANGUEIRA,JOSÉ INÁCIO SOBRINHO
SANTANA DOS GARROTES,JOSÉ PAULO FILHO
SANTANA DOS GARROTES,MARIA ALDENI COSTA LOPES SOARES
SANTO ANDRÉ,SILVANA FERNANDES MARINHO
SANTO ANDRÉ,PETRONIO MATIAS DE MEDEIROS
SANTO ANDRÉ,FENELON MEDIROS FILHO
SANTO ANDRÉ,DARIMAGDA DA SILVA PEREIRA
SAPÉ,FLAVIO ROBERTO MALHEIROS FELICIANO
SAPÉ,JUSCELINO MIGUEL DOS ANJOS
SAPÉ,JOAO CLEMENTE NETO
SAPÉ,JOSIVALDO VELOSO DA SILVA
SERRA BRANCA,VICENTE FIALHO DE SOUSA NETO
SERRA BRANCA,JOSENILDO GONÇALVES DE BRITO
SERRA BRANCA,FLAVIO FERNANDO GAUDENCIO BARBOSA TORREAO
SERRA DA RAIZ,DIVAL FERREIRA DO NASCIMENTO
SERRA DA RAIZ,CARLOS ANDRÉ ABREU
SERRA DA RAIZ,ADAILMA FERNANDES DA SILVA LIMA
SERRA GRANDE,JAIRO HALLEY DE MOURA CRUZ
SERRA GRANDE,ELIANA NUNES DA SILVA
SERRA REDONDA,FRANCISCO BERNARDO DOS SANTOS
SERRA REDONDA,DANILO JOSE ANDRADE DE OLIVEIRA
SERRARIA,PETRONIO DE FREITAS SILVA
SERRARIA,JOAO BATISTA PINHEIRO DE ANDRADE
SERRARIA,ANTONIO EDUARDO ROCHA DA FONSECA
SERTÃOZINHO,JOSE DE SOUZA MACHADO
SERTÃOZINHO,GILCLÉCIO WILTON FREIRE
SOBRADO,MARCIA VALERIA DA SILVA
SOBRADO,GEORGE JOSÉ PORCIÚNCULA PEREIRA COELHO
SOLEDADE,LUIZ BATISTA DE OLIVEIRA
SOLEDADE,JOSÉ IVANILSON BARROS GOUVEIA
SOLEDADE,FLAVIO AURELIANO DA SILVA NETO
SOLÂNEA,ROSÂNGELA VITAL
