de_Ugestora,ELEITO
ÁGUA BRANCA,TARCISIO ALVES FIRMINO
ÁGUA BRANCA,EVERTON FIRMINO BATISTA
AGUIAR,SAMARIA PEREIRA GUEDES
AGUIAR,LOURIVAL LACERDA LEITE FILHO
AGUIAR,JOCÉLIO ALVES LEITE
ALAGOA GRANDE,JOSÉ WAMBERTO DO NASCIMENTO SILVA
ALAGOA GRANDE,JOSILDO DE OLIVEIRA LIMA
ALAGOA GRANDE,ANTONIO DA SILVA SOBRINHO
ALAGOA NOVA,JOSÉ UCHÔA DE AQUINO LEITE
ALAGOA NOVA,WALFREDO LEAL COSTA JUNIOR
ALAGOINHA,DAVI OLIVEIRA E SILVA
ALAGOINHA,JEOVÁ JOSÉ CORREIA DE OLIVEIRA
ALCANTIL,JOSÉ MILTON RODRIGUES
ALCANTIL,JOSE ADEMAR DE FARIAS
ALGODÃO DE JANDAÍRA,JOSE CICERO MOUZINHO DA SILVA
ALGODÃO DE JANDAÍRA,MARICLEIDE IZIDRO DA SILVA
ALHANDRA,NEWTON LIRA JUNIOR
ALHANDRA,MARCELO RODRIGUES DA COSTA
ALHANDRA,RENATO MENDES LEITE
AMPARO,RAINILDA NUNES SALES
AMPARO,JOSE ARNALDO DA SILVA
APARECIDA,JULIO CESAR QUEIROGA DE ARAÚJO
APARECIDA,HELIO ROQUE DE ASSIS
ARARA,JOSÉ AILTON PEREIRA DA SILVA
ARARA,ANTONIO ERNESTO DOS SANTOS
ARARUNA,LUIZ AZEVEDO DO NASCIMENTO
ARARUNA,VITAL DA COSTA ARAÚJO
ARAÇAGI,JOSILDA MACENA BENICIO LEITE
ARAÇAGI,MURILIO DA SILVA NUNES
AREIA,JOÃO BATISTA SOARES
AREIA,JOÃO FRANCISCO BATISTA DE ALBUQUERQUE
AREIA,PAULO GOMES PEREIRA
AREIA DE BARAÚNAS,MARIA DEUZIRAN DA COSTA NOBREGA
AREIA DE BARAÚNAS,MARIA DA GUIA ALVES
AREIAL,ADELSON GONÇALVES BENJAMIN
AREIAL,ANTONIO RODRIGUES DE LIRA FILHO
AREIAL,CICERO PEDRO MEDA DE ALMEIDA
AROEIRAS,GILBERTO BEZERRA DE SOUSA
AROEIRAS,MYLTON DOMINGUES DE AGUIAR MARQUES
ASSUNÇÃO,VALDEMIR DE SOUZA FERREIRA
ASSUNÇÃO,LUIZ WALDVOGEL DE OLIVEIRA SANTOS
BANANEIRAS,DOUGLAS LUCENA MOURA DE MEDEIROS
BANANEIRAS,MATHEUS DE MELO BEZERRA CAVALCANTI
BARAÚNA,JOSENILDO ALVES DA PAIXÃO
BARAÚNA,MANASSES GOMES DANTAS
BARRA DE SANTA ROSA,LUCEMAR OLIVEIRA SANTOS
BARRA DE SANTA ROSA,MOISÉS DUARTE CHAVES ALMEIDA
BARRA DE SANTA ROSA,JOVINO PEREIRA NEPOMUCENO NETO
BARRA DE SANTANA,MANOEL ALMEIDA DE ANDRADE
BARRA DE SANTANA,AMAURI FERREIRA DE SOUZA
BARRA DE SÃO MIGUEL,JOÃO BATISTA TRUTA
BARRA DE SÃO MIGUEL,JOSE WILSON PINTO COSTA
BAYEUX,ASTERO SANTOS
BAYEUX,GUTEMBERG DE LIMA DAVI
BAYEUX,EXPEDITO PEREIRA DE SOUZA
BAYEUX,LEONARDO MICENA DA SILVA BARBOSA
BAYEUX,JOSÉ MARCÍLIO CORREIA DA SILVA
BAYEUX,IDELTONI RIBEIRO SOARES
BAÍA DA TRAIÇÃO,MANUEL MESSIAS RODRIGUES
BAÍA DA TRAIÇÃO,JOSE ALBERTO DIAS FREIRE
BAÍA DA TRAIÇÃO,EUCLIDES SÉRGIO COSTA DE LIMA JUNIOR
BELÉM,EDGARD GAMA
