Mês/Ano,UF,Abrangência,Quantidade,%
,PB,SÃO DOMINGOS DE POMBAL,2.833,99
,PB,SÃO DOMINGOS DO CARIRI,2.354,82
,PB,SÃO FRANCISCO,3.321,116
,PB,SÃO JOÃO DO CARIRI,4.031,141
,PB,SÃO JOÃO DO RIO DO PEIXE,14.284,501
,PB,SÃO JOÃO DO TIGRE,3.467,122
,PB,SÃO JOSÉ DA LAGOA TAPADA,6.284,220
,PB,SÃO JOSÉ DE CAIANA,4.944,173
,PB,SÃO JOSÉ DE ESPINHARAS,3.892,136
,PB,SÃO JOSÉ DE PIRANHAS,14.655,514
,PB,SÃO JOSÉ DE PRINCESA,3.48,122
,PB,SÃO JOSÉ DO BONFIM,3.311,116
,PB,SÃO JOSÉ DO BREJO DO CRUZ,1.68,59
,PB,SÃO JOSÉ DO SABUGI,3.502,123
,PB,SÃO JOSÉ DOS CORDEIROS,3.12,109
,PB,SÃO JOSÉ DOS RAMOS,4.632,162
,PB,SÃO MAMEDE,6.367,223
,PB,SÃO MIGUEL DE TAIPU,5.32,186
,PB,SÃO SEBASTIÃO DE LAGOA DE ROÇA,8.662,304
,PB,SÃO SEBASTIÃO DO UMBUZEIRO,2.847,100
,PB,SÃO VICENTE DO SERIDÓ,8.069,283
,PB,SAPÉ,38.093,1335
,PB,SERRA BRANCA,9.955,349
,PB,SERRA DA RAIZ,2.55,89
,PB,SERRA GRANDE,2.651,93
,PB,SERRA REDONDA,6.46,226
,PB,SERRARIA,4.666,164
,PB,SERTÃOZINHO,3.809,133
,PB,SOBRADO,6.641,233
,PB,SOLÂNEA,22.254,780
,PB,SOLEDADE,10.702,375
,PB,SOSSÊGO,2.959,104
,PB,SOUSA,46.854,1642
,PB,SUMÉ,12.644,443
,PB,TACIMA,7.485,262
,PB,TAPEROÁ,10.846,380
,PB,TAVARES,10.873,381
,PB,TEIXEIRA,10.357,363
,PB,TENÓRIO,2.492,87
,PB,TRIUNFO,7.319,257
,PB,UIRAÚNA,11.212,393
,PB,UMBUZEIRO,6.472,227
,PB,VÁRZEA,2.34,82
,PB,VIEIRÓPOLIS,4.978,174
,PB,VISTA SERRANA,2.865,100
,PB,ZABELÊ,1.959,69
Mês/Ano Total:,,,2.853.335,
Total Geral,,,2.853.335,
